,Original,Porter,Lancaster,Snowball
117,rotonda,rotonda,rotond,rotonda
118,rotunda,rotunda,rotund,rotunda
119,pagoda,pagoda,pagod,pagoda
120,skoda,skoda,skod,skoda
121,soda,soda,sod,soda
122,nlrda,nlrda,nlrda,nlrda
123,jorda,jorda,jord,jorda
124,tjokorda,tjokorda,tjokord,tjokorda
125,remuda,remuda,remud,remuda
126,bermuda,bermuda,bermud,bermuda
127,howda,howda,howd,howda
128,propylaea,propylaea,propylae,propylaea
129,bea,bea,bea,bea
130,boadicea,boadicea,boadice,boadicea
131,medea,medea,mede,medea
132,idea,idea,ide,idea
133,judea,judea,jude,judea
134,trachea,trachea,trache,trachea
135,diarrhea,diarrhea,diarrhe,diarrhea
136,pyorrhea,pyorrhea,pyorrhe,pyorrhea
137,shea,shea,she,shea
138,thea,thea,the,thea
139,arimathea,arimathea,arimathe,arimathea
140,althea,althea,althe,althea
141,anthea,anthea,anthe,anthea
142,azalea,azalea,azale,azalea
143,flea,flea,fle,flea
144,plea,plea,ple,plea
145,mea,mea,mea,mea
146,crimea,crimea,crime,crimea
147,pyocanea,pyocanea,pyocane,pyocanea
148,guinea,guinea,guine,guinea
149,diarrhoea,diarrhoea,diarrhoe,diarrhoea
150,area,area,are,area
151,andrea,andrea,andre,andrea
152,berea,berea,bere,berea
153,korea,korea,kore,korea
154,urea,urea,ure,urea
155,sea,sea,sea,sea
156,undersea,undersea,underse,undersea
157,nausea,nausea,nause,nausea
158,tea,tea,tea,tea
159,yea,yea,ye,yea
160,ffa,ffa,ffa,ffa
161,hoffa,hoffa,hoff,hoffa
162,alfa,alfa,alf,alfa
163,sofa,sofa,sof,sofa
164,ga,ga,ga,ga
165,rutabaga,rutabaga,rutabag,rutabaga
166,balenciaga,balenciaga,balenciag,balenciaga
167,ashikaga,ashikaga,ashikag,ashikaga
168,saga,saga,sag,saga
169,omega,omega,omeg,omega
170,ortega,ortega,orteg,ortega
171,bottega,bottega,botteg,bottega
172,olga,olga,olg,olga
173,katanga,katanga,katang,katanga
174,gizenga,gizenga,gizeng,gizenga
175,feringa,feringa,fering,feringa
176,syringa,syringa,syring,syringa
177,konga,konga,kong,konga
178,eromonga,eromonga,eromong,eromonga
179,kemchenjunga,kemchenjunga,kemchenjung,kemchenjunga
180,chattanooga,chattanooga,chattanoog,chattanooga
181,ticonderoga,ticonderoga,ticonderog,ticonderoga
182,saratoga,saratoga,saratog,saratoga
183,conestoga,conestoga,conestog,conestoga
184,yoga,yoga,yog,yoga
185,pga,pga,pga,pga
186,usga,usga,usg,usga
187,ha,ha,ha,ha
188,omaha,omaha,omah,omaha
189,cha,cha,cha,cha
190,buncha,buncha,bunch,buncha
191,mischa,mischa,misch,mischa
192,buddha,buddha,buddh,buddha
193,fha,fha,fha,fha
194,gha,gha,gha,gha
195,ymha,ymha,ymh,ymha
196,pranha,pranha,pranh,pranha
197,alpha,alpha,alph,alpha
198,yoknapatawpha,yoknapatawpha,yoknapatawph,yoknapatawpha
199,apocrypha,apocrypha,apocryph,apocrypha
200,sha,sha,sha,sha
201,pasha,pasha,pash,pasha
202,bouanahsha,bouanahsha,bouanahsh,bouanahsha
203,geisha,geisha,geish,geisha
204,elisha,elisha,elish,elisha
205,marsha,marsha,marsh,marsha
206,agatha,agatha,agath,agatha
207,hiawatha,hiawatha,hiawath,hiawatha
208,aminometha,aminometha,aminometh,aminometha
209,bartha,bartha,barth,bartha
210,martha,martha,marth,martha
211,bertha,bertha,berth,bertha
212,aia,aia,ai,aia
213,arabia,arabia,arab,arabia
214,bessarabia,bessarabia,bessarab,bessarabia
215,colombia,colombia,colomb,colombia
216,columbia,columbia,columb,columbia
217,anglophobia,anglophobia,anglophob,anglophobia
218,xenophobia,xenophobia,xenophob,xenophobia
219,hydrophobia,hydrophobia,hydrophob,hydrophobia
220,claustrophobia,claustrophobia,claustrophob,claustrophobia
221,suburbia,suburbia,suburb,suburbia
222,acacia,acacia,acac,acacia
223,accacia,accacia,accac,accacia
224,alicia,alicia,alic,alicia
225,patricia,patricia,patric,patricia
226,umcia,umcia,umc,umcia
227,garcia,garcia,garc,garcia
228,marcia,marcia,marc,marcia
229,lucia,lucia,luc,lucia
230,dia,dia,dia,dia
231,acadia,acadia,acad,acadia
232,media,media,med,media
233,encyclopedia,encyclopedia,encycloped,encyclopedia
234,encylopedia,encylopedia,encyloped,encylopedia
235,islandia,islandia,island,islandia
236,india,india,ind,india
237,cambodia,cambodia,cambod,cambodia
238,guardia,guardia,guard,guardia
239,laguardia,laguardia,laguard,laguardia
240,lydia,lydia,lyd,lydia
241,pharmacopoeia,pharmacopoeia,pharmacopoe,pharmacopoeia
242,prosopopoeia,prosopopoeia,prosopopoe,prosopopoeia
243,cassiopeia,cassiopeia,cassiope,cassiopeia
244,oresteia,oresteia,oreste,oresteia
245,foggia,foggia,fogg,foggia
246,neuralgia,neuralgia,neuralg,neuralgia
247,nostalgia,nostalgia,nostalg,nostalgia
248,apologia,apologia,apolog,apologia
249,georgia,georgia,georg,georgia
250,pterygia,pterygia,pteryg,pterygia
251,bahia,bahia,bah,bahia
252,jacchia,jacchia,jacch,jacchia
253,philadelphia,philadelphia,philadelph,philadelphia
254,sophia,sophia,soph,sophia
255,cynthia,cynthia,cynth,cynthia
256,czechoslovakia,czechoslovakia,czechoslovak,czechoslovakia
257,kaskaskia,kaskaskia,kaskask,kaskaskia
258,alia,alia,al,alia
259,regalia,regalia,regal,regalia
260,westphalia,westphalia,westphal,westphalia
261,malia,malia,mal,malia
262,paraphernalia,paraphernalia,paraphernal,paraphernalia
263,centralia,centralia,central,centralia
264,australia,australia,austral,australia
265,specimentalia,specimentalia,specimental,specimentalia
266,celia,celia,cel,celia
267,delia,delia,del,delia
268,adelia,adelia,adel,adelia
269,tarheelia,tarheelia,tarheel,tarheelia
270,miglia,miglia,migl,miglia
271,anglia,anglia,angl,anglia
272,memorabilia,memorabilia,memorabil,memorabilia
273,cilia,cilia,cil,cilia
274,cecilia,cecilia,cecil,cecilia
275,virgilia,virgilia,virgil,virgilia
276,anglophilia,anglophilia,anglophil,anglophilia
277,monilia,monilia,monil,monilia
278,podolia,podolia,podol,podolia
279,mongolia,mongolia,mongol,mongolia
280,magnolia,magnolia,magnol,magnolia
281,julia,julia,jul,julia
282,accademia,accademia,accadem,accademia
283,leukemia,leukemia,leukem,leukemia
284,anemia,anemia,anem,anemia
285,acetonemia,acetonemia,acetonem,acetonemia
286,tularemia,tularemia,tularem,tularemia
287,hyperemia,hyperemia,hyperem,hyperemia
288,uremia,uremia,urem,uremia
289,enterotoxemia,enterotoxemia,enterotoxem,enterotoxemia
290,nomia,nomia,nom,nomia
291,lumia,lumia,lum,lumia
292,albania,albania,alban,albania
293,oceania,oceania,ocean,oceania
294,mania,mania,man,mania
295,megalomania,megalomania,megaloman,megalomania
296,germania,germania,german,germania
297,tasmania,tasmania,tasman,tasmania
298,rumania,rumania,ruman,rumania
299,anania,anania,anan,anania
300,pomerania,pomerania,pomeran,pomerania
301,sylvania,sylvania,sylvan,sylvania
302,transylvania,transylvania,transylvan,transylvania
303,pennsylvania,pennsylvania,pennsylvan,pennsylvania
304,gardenia,gardenia,garden,gardenia
305,eugenia,eugenia,eugen,eugenia
306,xenia,xenia,xen,xenia
307,virginia,virginia,virgin,virginia
308,insomnia,insomnia,insomn,insomnia
309,millennia,millennia,millenn,millennia
310,edmonia,edmonia,edmon,edmonia
311,pneumonia,pneumonia,pneumon,pneumonia
312,koinonia,koinonia,koinon,koinonia
313,catatonia,catatonia,cataton,catatonia
314,california,california,californ,california
315,assiniboia,assiniboia,assinibo,assiniboia
316,bertoia,bertoia,berto,bertoia
317,sequoia,sequoia,sequo,sequoia
318,sepia,sepia,sep,sepia
319,principia,principia,princip,principia
320,cornucopia,cornucopia,cornucop,cornucopia
321,tikopia,tikopia,tikop,tikopia
322,dystopia,dystopia,dystop,dystopia
323,utopia,utopia,utop,utopia
324,myopia,myopia,myop,myopia
325,beccaria,beccaria,beccar,beccaria
326,bulgaria,bulgaria,bulgar,bulgaria
327,malaria,malaria,malar,malaria
328,maria,maria,mar,maria
329,barataria,barataria,baratar,barataria
330,hostaria,hostaria,hostar,hostaria
331,bavaria,bavaria,bavar,bavaria
332,calabria,calabria,calabr,calabria
333,alexandria,alexandria,alexandr,alexandria
334,iberia,iberia,iber,iberia
335,liberia,liberia,liber,liberia
336,siberia,siberia,siber,siberia
337,nigeria,nigeria,niger,nigeria
338,algeria,algeria,alger,algeria
339,storeria,storeria,storer,storeria
340,bacteria,bacteria,bacter,bacteria
341,mycobacteria,mycobacteria,mycobacter,mycobacteria
342,cafeteria,cafeteria,cafeter,cafeteria
343,criteria,criteria,criter,criteria
344,asteria,asteria,aster,asteria
345,hysteria,hysteria,hyster,hysteria
346,doria,doria,dor,doria
347,euphoria,euphoria,euphor,euphoria
348,gloria,gloria,glor,gloria
349,victoria,victoria,victor,victoria
350,astoria,astoria,astor,astoria
351,austria,austria,austr,austria
352,curia,curia,cur,curia
353,syria,syria,syr,syria
354,asia,asia,as,asia
355,hyperplasia,hyperplasia,hyperplas,hyperplasia
356,dysplasia,dysplasia,dysplas,dysplasia
357,fantasia,fantasia,fantas,fantasia
358,frambesia,frambesia,frambes,frambesia
359,rhodesia,rhodesia,rhodes,rhodesia
360,anaesthesia,anaesthesia,anaesthes,anaesthesia
361,silesia,silesia,siles,silesia
362,indonesia,indonesia,indones,indonesia
363,fuchsia,fuchsia,fuchs,fuchsia
364,tunisia,tunisia,tunis,tunisia
365,persia,persia,pers,persia
366,corsia,corsia,cors,corsia
367,russia,russia,russ,russia
368,prussia,prussia,pruss,prussia
369,intelligentsia,intelligentsia,intelligents,intelligentsia
370,rickettsia,rickettsia,ricketts,rickettsia
371,lucretia,lucretia,lucret,lucretia
372,militia,militia,milit,militia
373,letitia,letitia,letit,letitia
374,notitia,notitia,notit,notitia
375,justitia,justitia,justit,justitia
376,placentia,placentia,placent,placentia
377,absentia,absentia,absent,absentia
378,inertia,inertia,inert,inertia
379,portia,portia,port,portia
380,sacrestia,sacrestia,sacrest,sacrestia
381,izvestia,izvestia,izvest,izvestia
382,via,via,via,via
383,yugoslavia,yugoslavia,yugoslav,yugoslavia
384,scandinavia,scandinavia,scandinav,scandinavia
385,batavia,batavia,batav,batavia
386,octavia,octavia,octav,octavia
387,olivia,olivia,oliv,olivia
388,bolivia,bolivia,boliv,bolivia
389,trivia,trivia,triv,trivia
390,segovia,segovia,segov,segovia
391,anorexia,anorexia,anorex,anorexia
392,ja,ja,ja,ja
393,aja,aja,aj,aja
394,deja,deja,dej,deja
395,osaka,osaka,osak,osaka
396,hosaka,hosaka,hosak,hosaka
397,topeka,topeka,topek,topeka
398,kafka,kafka,kafk,kafka
399,yurochka,yurochka,yurochk,yurochka
400,kokoschka,kokoschka,kokoschk,kokoschka
401,petruchka,petruchka,petruchk,petruchka
402,kika,kika,kik,kika
403,opelika,opelika,opelik,opelika
404,tanganika,tanganika,tanganik,tanganika
405,troika,troika,troik,troika
406,afrika,afrika,afrik,afrika
407,paprika,paprika,paprik,paprika
408,swastika,swastika,swastik,swastika
409,ilka,ilka,ilk,ilka
410,polka,polka,polk,polka
411,polyanka,polyanka,polyank,polyanka
412,slenczynka,slenczynka,slenczynk,slenczynka
413,muskoka,muskoka,muskok,muskoka
414,tuxapoka,tuxapoka,tuxapok,tuxapoka
415,bayaderka,bayaderka,bayaderk,bayaderka
416,terka,terka,terk,terka
417,mazurka,mazurka,mazurk,mazurka
418,alaska,alaska,alask,alaska
419,nebraska,nebraska,nebrask,nebraska
420,vaska,vaska,vask,vaska
421,ziminska,ziminska,ziminsk,ziminska
422,sygietynska,sygietynska,sygietynsk,sygietynska
423,kamchatka,kamchatka,kamchatk,kamchatka
424,winnetka,winnetka,winnetk,winnetka
425,darbuka,darbuka,darbuk,darbuka
426,yokosuka,yokosuka,yokosuk,yokosuka
427,styka,styka,styk,styka
428,muzyka,muzyka,muzyk,muzyka
429,la,la,la,la
430,ala,ala,al,ala
431,acala,acala,acal,acala
432,scala,scala,scal,scala
433,gala,gala,gal,gala
434,guatemala,guatemala,guatemal,guatemala
435,calimala,calimala,calimal,calimala
436,zapala,zapala,zapal,zapala
437,habla,habla,habl,habla
438,ucla,ucla,ucl,ucla
439,bela,bela,bel,bela
440,fela,fela,fel,fela
441,pamela,pamela,pamel,pamela
442,jemela,jemela,jemel,jemela
443,venezuela,venezuela,venezuel,venezuela
444,fla,fla,fla,fla
445,sheila,sheila,sheil,sheila
446,leila,leila,leil,leila
447,lila,lila,lil,lila
448,manila,manila,manil,manila
449,okla,okla,okl,okla
450,alla,alla,all,alla
451,ella,ella,ell,ella
452,bella,bella,bell,bella
453,sabella,sabella,sabell,sabella
454,della,della,dell,della
455,fella,fella,fell,fella
456,trichinella,trichinella,trichinell,trichinella
457,marella,marella,marell,marella
458,parella,parella,parell,parella
459,umbrella,umbrella,umbrell,umbrella
460,sicurella,sicurella,sicurell,sicurella
461,rosella,rosella,rosell,rosella
462,stella,stella,stell,stella
463,estella,estella,estell,estella
464,viyella,viyella,viyell,viyella
465,rozella,rozella,rozell,rozella
466,arcilla,arcilla,arcill,arcilla
467,camilla,camilla,camill,camilla
468,ludmilla,ludmilla,ludmill,ludmilla
469,vanilla,vanilla,vanill,vanilla
470,sarsaparilla,sarsaparilla,sarsaparill,sarsaparilla
471,perilla,perilla,perill,perilla
472,guerilla,guerilla,guerill,guerilla
473,guerrilla,guerrilla,guerrill,guerrilla
474,flotilla,flotilla,flotill,flotilla
475,villa,villa,vill,villa
476,willa,willa,will,willa
477,jolla,jolla,joll,jolla
478,cipolla,cipolla,cipoll,cipolla
479,ciciulla,ciciulla,ciciull,ciciulla
480,sibylla,sibylla,sibyll,sibylla
481,kaola,kaola,kaol,kaola
482,cola,cola,col,cola
483,pensacola,pensacola,pensacol,pensacola
484,apalachicola,apalachicola,apalachicol,apalachicola
485,socola,socola,socol,socola
486,ndola,ndola,ndol,ndola
487,angola,angola,angol,angola
488,viola,viola,viol,viola
489,kola,kola,kol,kola
490,lola,lola,lol,lola
491,manzanola,manzanola,manzanol,manzanola
492,borrioboola,borrioboola,borriobool,borrioboola
493,savonarola,savonarola,savonarol,savonarola
494,victrola,victrola,victrol,victrola
495,iosola,iosola,iosol,iosola
496,hoopla,hoopla,hoopl,hoopla
497,carla,carla,carl,carla
498,gurla,gurla,gurl,gurla
499,arkabutla,arkabutla,arkabutl,arkabutla
500,paula,paula,paul,paula
501,tabula,tabula,tabul,tabula
502,nebula,nebula,nebul,nebula
503,sonambula,sonambula,sonambul,sonambula
504,curricula,curricula,curricul,curricula
505,caligula,caligula,caligul,caligula
506,formula,formula,formul,formula
507,arenula,arenula,arenul,arenula
508,pascagoula,pascagoula,pascagoul,pascagoula
509,missoula,missoula,missoul,missoula
510,peninsula,peninsula,peninsul,peninsula
511,phyla,phyla,phyl,phyla
512,ma,ma,ma,ma
513,ama,ama,am,ama
514,alabama,alabama,alabam,alabama
515,madama,madama,madam,madama
516,kodama,kodama,kodam,kodama
517,reama,reama,ream,reama
518,pajama,pajama,pajam,pajama
519,karshilama,karshilama,karshilam,karshilama
520,mama,mama,mam,mama
521,panama,panama,panam,panama
522,drama,drama,dram,drama
523,melodrama,melodrama,melodram,melodrama
524,cinerama,cinerama,cineram,cinerama
525,interama,interama,interam,interama
526,cyclorama,cyclorama,cycloram,cyclorama
527,colorama,colorama,coloram,colorama
528,panorama,panorama,panoram,panorama
529,momoyama,momoyama,momoyam,momoyama
530,grandma,grandma,grandm,grandma
531,edema,edema,edem,edema
532,schema,schema,schema,schema
533,cinema,cinema,cinem,cinema
534,extrema,extrema,extrem,extrema
535,emphysema,emphysema,emphysem,emphysema
536,enigma,enigma,enigm,enigma
537,sigma,sigma,sigm,sigma
538,stigma,stigma,stigm,stigma
539,dogma,dogma,dogm,dogma
540,kerygma,kerygma,kerygm,kerygma
541,asthma,asthma,asthm,asthma
542,nishima,nishima,nishim,nishima
543,hiroshima,hiroshima,hiroshim,hiroshima
544,oyajima,oyajima,oyajim,oyajima
545,iijima,iijima,iijim,iijima
546,yakima,yakima,yakim,yakima
547,prima,prima,prim,prima
548,fatima,fatima,fatim,fatima
549,intima,intima,intim,intima
550,alma,alma,alm,alma
551,halma,halma,halm,halma
552,schmalma,schmalma,schmalma,schmalma
553,thelma,thelma,thelm,thelma
554,selma,selma,selm,selma
555,gamma,gamma,gamm,gamma
556,mamma,mamma,mamm,mamma
557,emma,emma,emm,emma
558,lemma,lemma,lemm,lemma
559,dilemma,dilemma,dilemm,dilemma
560,comma,comma,comm,comma
561,momma,momma,momm,momma
562,insomma,insomma,insomm,insomma
563,glaucoma,glaucoma,glaucom,glaucoma
564,oklahoma,oklahoma,oklahom,oklahoma
565,lymphoma,lymphoma,lymphom,lymphoma
566,nakoma,nakoma,nakom,nakoma
567,carcinoma,carcinoma,carcinom,carcinoma
568,sonoma,sonoma,sonom,sonoma
569,aroma,aroma,arom,aroma
570,soma,soma,som,soma
571,texoma,texoma,texom,texoma
572,dharma,dharma,dharm,dharma
573,irma,irma,irm,irma
574,firma,firma,firm,firma
575,forma,forma,form,forma
576,norma,norma,norm,norma
577,burma,burma,burm,burma
578,plasma,plasma,plasm,plasma
579,charisma,charisma,charism,charisma
580,trauma,trauma,traum,trauma
581,sukuma,sukuma,sukum,sukuma
582,soukhouma,soukhouma,soukhoum,soukhouma
583,phouma,phouma,phoum,phouma
584,parenchyma,parenchyma,parenchym,parenchyma
585,na,na,na,na
586,ana,ana,an,ana
587,cabana,cabana,caban,cabana
588,urbana,urbana,urban,urbana
589,americana,americana,american,americana
590,dana,dana,dan,dana
591,oceana,oceana,ocean,oceana
592,ghana,ghana,ghan,ghana
593,diana,diana,dian,diana
594,indiana,indiana,indian,indiana
595,siciliana,siciliana,sicilian,siciliana
596,gloriana,gloriana,glorian,gloriana
597,louisiana,louisiana,louisian,louisiana
598,christiana,christiana,christiana,christiana
599,guiana,guiana,guian,guiana
600,jana,jana,jan,jana
601,lana,lana,lan,lana
602,mana,mana,man,mana
603,banana,banana,banan,banana
604,sana,sana,san,sana
605,sopsaisana,sopsaisana,sopsaisan,sopsaisana
606,quintana,quintana,quintan,quintana
607,fontana,fontana,fontan,fontana
608,montana,montana,montan,montana
609,puttana,puttana,puttan,puttana
610,marijuana,marijuana,marijuan,marijuana
611,tijuana,tijuana,tijuan,tijuana
612,havana,havana,havan,havana
613,nirvana,nirvana,nirvan,nirvana
614,mahayana,mahayana,mahayan,mahayana
615,santayana,santayana,santayan,santayana
616,evadna,evadna,evadn,evadna
617,edna,edna,edn,edna
618,pasadena,pasadena,pasaden,pasadena
619,athena,athena,athen,athena
620,jena,jena,jen,jena
621,lena,lena,len,lena
622,maddalena,maddalena,maddalen,maddalena
623,galena,galena,galen,galena
624,elena,elena,elen,elena
625,helena,helena,helen,helena
626,selena,selena,selen,selena
627,phenomena,phenomena,phenomen,phenomena
628,subpoena,subpoena,subpoen,subpoena
629,pena,pena,pen,pena
630,rena,rena,ren,rena
631,arena,arena,aren,arena
632,andrena,andrena,andren,andrena
633,lorena,lorena,loren,lorena
634,annamorena,annamorena,annamoren,annamorena
635,vadstena,vadstena,vadsten,vadstena
636,buena,buena,buen,buena
637,hyena,hyena,hyen,hyena
638,alemagna,alemagna,alemagn,alemagna
639,campagna,campagna,campagn,campagna
640,spagna,spagna,spagn,spagna
641,mantegna,mantegna,mantegn,mantegna
642,bologna,bologna,bologn,bologna
643,krishna,krishna,krishn,krishna
644,sabina,sabina,sabin,sabina
645,pembina,pembina,pembin,pembina
646,vagina,vagina,vagin,vagina
647,regina,regina,regin,regina
648,china,china,chin,china
649,indochina,indochina,indochin,indochina
650,galina,galina,galin,galina
651,angelina,angelina,angelin,angelina
652,carolina,carolina,carolin,carolina
653,stamina,stamina,stamin,stamina
654,wilhelmina,wilhelmina,wilhelmin,wilhelmina
655,domina,domina,domin,domina
656,nina,nina,nin,nina
657,despina,despina,despin,despina
658,ocarina,ocarina,ocarin,ocarina
659,farina,farina,farin,farina
660,marina,marina,marin,marina
661,czarina,czarina,czarin,czarina
662,ballerina,ballerina,ballerin,ballerina
663,irina,irina,irin,irina
664,parisina,parisina,parisin,parisina
665,messina,messina,messin,messina
666,patina,patina,patin,patina
667,retina,retina,retin,retina
668,argentina,argentina,argentin,argentina
669,concertina,concertina,concertin,concertina
670,edwina,edwina,edwin,edwina
671,anna,anna,ann,anna
672,olgivanna,olgivanna,olgivann,olgivanna
673,souvanna,souvanna,souvann,souvanna
674,wanna,wanna,wann,wanna
675,sienna,sienna,sienn,sienna
676,vienna,vienna,vienn,vienna
677,mckenna,mckenna,mckenna,mckenna
678,penna,penna,penn,penna
679,antenna,antenna,antenn,antenna
680,inna,inna,inn,inna
681,donna,donna,donn,donna
682,madonna,madonna,madonn,madonna
683,gonna,gonna,gonn,gonna
684,colonna,colonna,colonn,colonna
685,bona,bona,bon,bona
686,leona,leona,leon,leona
687,ilona,ilona,ilon,ilona
688,corona,corona,coron,corona
689,natrona,natrona,natron,natrona
690,leesona,leesona,leeson,leesona
691,persona,persona,person,persona
692,navona,navona,navon,navona
693,arizona,arizona,arizon,arizona
694,camusfearna,camusfearna,camusfearn,camusfearna
695,svenskarna,svenskarna,svenskarn,svenskarna
696,karolinerna,karolinerna,karolinern,karolinerna
697,severna,severna,severn,severna
698,fauna,fauna,faun,fauna
699,tribuna,tribuna,tribun,tribuna
700,laguna,laguna,lagun,laguna
701,sweathruna,sweathruna,sweathrun,sweathruna
702,boa,boa,boa,boa
703,cocoa,cocoa,coco,cocoa
704,doa,doa,doa,doa
705,goa,goa,goa,goa
706,hoa,hoa,hoa,hoa
707,whoa,whoa,who,whoa
708,samoa,samoa,samo,samoa
709,krakatoa,krakatoa,krakato,krakatoa
710,dromozoa,dromozoa,dromozo,dromozoa
711,protozoa,protozoa,protozo,protozoa
712,pa,pa,pa,pa
713,papa,papa,pap,papa
714,maiteipa,maiteipa,maiteip,maiteipa
715,ripa,ripa,rip,ripa
716,petipa,petipa,petip,petipa
717,arequipa,arequipa,arequip,arequipa
718,pampa,pampa,pamp,pampa
719,kappa,kappa,kapp,kappa
720,agrippa,agrippa,agripp,agrippa
721,spa,spa,spa,spa
722,krupa,krupa,krup,krupa
723,wpa,wpa,wpa,wpa
724,ra,ra,ra,ra
725,barbara,barbara,barbar,barbara
726,mascara,mascara,mascar,mascara
727,niagara,niagara,niagar,niagara
728,ogara,ogara,ogar,ogara
729,sahara,sahara,sahar,sahara
730,ankara,ankara,ankar,ankara
731,clara,clara,clar,clara
732,mcnamara,mcnamara,mcnamara,mcnamara
733,marmara,marmara,marmar,marmara
734,cumara,cumara,cumar,cumara
735,nara,nara,nar,nara
736,sayonara,sayonara,sayonar,sayonara
737,carrara,carrara,carrar,carrara
738,sara,sara,sar,sara
739,pontissara,pontissara,pontissar,pontissara
740,tara,tara,tar,tara
741,tarantara,tarantara,tarantar,tarantara
742,guevara,guevara,guevar,guevara
743,zara,zara,zar,zara
744,abra,abra,abr,abra
745,algebra,algebra,algebr,algebra
746,zebra,zebra,zebr,zebra
747,cobra,cobra,cobr,cobra
748,lubra,lubra,lubr,lubra
749,sandra,sandra,sandr,sandra
750,matsyendra,matsyendra,matsyendr,matsyendra
751,dichondra,dichondra,dichondr,dichondra
752,era,era,er,era
753,viscera,viscera,viscer,viscera
754,riviera,riviera,rivier,riviera
755,cholera,cholera,choler,cholera
756,camera,camera,camer,camera
757,chimera,chimera,chimer,chimera
758,woomera,woomera,woomer,woomera
759,genera,genera,gener,genera
760,tempera,tempera,temper,tempera
761,opera,opera,oper,opera
762,sera,sera,ser,sera
763,antisera,antisera,antiser,antisera
