Porter,Original,Lancaster,Snowball
agreeabl,['agreeably'],['agr'],['agreeabl']
ai,['ai'],['ai'],['ai']
aim,"['aiming', 'aims']","['aim', 'aim']","['aim', 'aim']"
ainsworth,['ainsworth'],['ainswor'],['ainsworth']
airfield,['airfields'],['airfield'],['airfield']
airfram,['airframe'],['airfram'],['airfram']
airport,"['airports', 'airport']","['airport', 'airport']","['airport', 'airport']"
akita,['akita'],['akit'],['akita']
aku,['aku'],['aku'],['aku']
alabast,['alabaster'],['alabast'],['alabast']
alarm,['alarmed'],['alarm'],['alarm']
alber,['albers'],['alb'],['alber']
alcott,['alcotts'],['alcot'],['alcott']
alexei,['alexei'],['alexe'],['alexei']
algebra,['algebraically'],['algebra'],['algebra']
alien,"['alien', 'aliens']","['aly', 'aly']","['alien', 'alien']"
alkylbenzenesulfon,['alkylbenzenesulfonates'],['alkylbenzenesulfon'],['alkylbenzenesulfon']
allegheni,['alleghenies'],['allegheny'],['allegheni']
allegori,['allegory'],['alleg'],['allegori']
allen,['allens'],['al'],['allen']
allevi,['alleviation'],['allevy'],['allevi']
alli,['allied'],['al'],['alli']
alloc,['allocated'],['alloc'],['alloc']
allow,['allow'],['allow'],['allow']
allso,['allso'],['allso'],['allso']
allus,['allusion'],['allud'],['allus']
almond,['almond'],['almond'],['almond']
along,['along'],['along'],['along']
aloof,['aloof'],['aloof'],['aloof']
alphabet,['alphabetical'],['alphabet'],['alphabet']
alpharetta,['alpharetta'],['alpharett'],['alpharetta']
altairian,['altairians'],['altair'],['altairian']
altitud,['altitude'],['altitud'],['altitud']
alva,['alva'],['alv'],['alva']
alwin,['alwin'],['alwin'],['alwin']
amateur,['amateur'],['am'],['amateur']
amaz,['amazing'],['amaz'],['amaz']
ambigu,['ambiguities'],['ambigu'],['ambigu']
ambiti,['ambitious'],['amb'],['ambiti']
ambulatori,['ambulatory'],['amb'],['ambulatori']
amend,['amendments'],['amend'],['amend']
ami,['amy'],['amy'],['ami']
amic,['amicable'],['am'],['amic']
ammonium,['ammonium'],['ammon'],['ammonium']
amor,['amorous'],['am'],['amor']
amorist,['amorist'],['am'],['amorist']
amorph,['amorphous'],['amorph'],['amorph']
amort,['amortization'],['amort'],['amort']
amput,['amputated'],['amput'],['amput']
amusedli,['amusedly'],['amus'],['amus']
anachron,"['anachronism', 'anachronisms']","['anachron', 'anachron']","['anachron', 'anachron']"
analog,['analogously'],['analog'],['analog']
analyt,['analytical'],['analys'],['analyt']
analyz,['analyzer'],['analys'],['analyz']
anarchi,['anarchy'],['anarchy'],['anarchi']
anastomosi,['anastomosis'],['anastomos'],['anastomosi']
anatom,['anatomical'],['anatom'],['anatom']
anchor,"['anchoring', 'anchors']","['anch', 'anch']","['anchor', 'anchor']"
ancillari,['ancillary'],['ancil'],['ancillari']
anderson,['anderson'],['anderson'],['anderson']
andrea,['andrea'],['andre'],['andrea']
anem,['anemated'],['anem'],['anem']
anew,['anew'],['anew'],['anew']
angelina,['angelina'],['angelin'],['angelina']
angelo,['angelo'],['angelo'],['angelo']
anglia,['anglia'],['angl'],['anglia']
anhydr,['anhydrously'],['anhydr'],['anhydr']
anim,"['animal', 'animation']","['anim', 'anim']","['anim', 'anim']"
anion,['anionic'],['an'],['anion']
anna,['anna'],['ann'],['anna']
announc,['announcers'],['annount'],['announc']
anorexia,['anorexia'],['anorex'],['anorexia']
anselmo,['anselmo'],['anselmo'],['anselmo']
antagonis,['antagonised'],['antagon'],['antagonis']
anteced,['antecedent'],['antec'],['anteced']
antenna,['antennae'],['antenna'],['antenna']
anthea,['anthea'],['anthe'],['anthea']
anthropologist,['anthropologists'],['anthropolog'],['anthropologist']
antic,['antics'],['ant'],['antic']
antigen,['antigen'],['antig'],['antigen']
anvil,['anvil'],['anvil'],['anvil']
anxious,['anxiously'],['anxy'],['anxious']
anybodi,['anybodys'],['anybody'],['anybodi']
anylabel,['anylabel'],['anylabel'],['anylabel']
anyway,['anyways'],['anyway'],['anyway']
anzilotti,['anzilotti'],['anzilott'],['anzilotti']
ap,['ap'],['ap'],['ap']
apolog,['apologized'],['apolog'],['apolog']
appar,['apparency'],['app'],['appar']
appeal,"['appealing', 'appeals']","['ap', 'ap']","['appeal', 'appeal']"
appear,"['appearance', 'appear', 'appearances']","['appear', 'appear', 'appear']","['appear', 'appear', 'appear']"
append,['appended'],['append'],['append']
applic,"['applicant', 'applicability']","['appl', 'appl']","['applic', 'applic']"
apprais,['appraisal'],['appra'],['apprais']
appreci,"['appreciative', 'appreciates']","['apprecy', 'apprecy']","['appreci', 'appreci']"
approach,['approached'],['approach'],['approach']
apt,['aptness'],['apt'],['apt']
aquam,['aquam'],['aquam'],['aquam']
arab,['arabs'],['arab'],['arab']
arabesqu,['arabesque'],['arabesqu'],['arabesqu']
arapaci,['arapacis'],['arapac'],['arapaci']
arbitr,['arbitrate'],['arbit'],['arbitr']
arbor,['arboreal'],['arb'],['arbor']
arbuckl,['arbuckle'],['arbuckl'],['arbuckl']
arch,['arched'],['arch'],['arch']
archaiz,['archaized'],['archa'],['archaiz']
archimed,['archimedes'],['archim'],['archimed']
ardmor,['ardmore'],['ardm'],['ardmor']
arduou,['arduous'],['ardu'],['arduous']
arena,['arena'],['aren'],['arena']
arent,['arent'],['ar'],['arent']
argu,['arguing'],['argu'],['argu']
ariadn,['ariadne'],['ariadn'],['ariadn']
aricara,['aricaras'],['aricara'],['aricara']
aristotelian,['aristotelian'],['aristotel'],['aristotelian']
arm,['arms'],['arm'],['arm']
armenian,['armenian'],['arm'],['armenian']
armistead,['armisteads'],['armistead'],['armistead']
armload,['armload'],['armload'],['armload']
arnolph,['arnolphe'],['arnolph'],['arnolph']
aromat,['aromatic'],['arom'],['aromat']
arrang,['arranges'],['arrang'],['arrang']
arrear,['arrears'],['arrear'],['arrear']
arrow,['arrows'],['arrow'],['arrow']
arsen,['arsenal'],['ars'],['arsenal']
arsid,['arside'],['arsid'],['arsid']
art,['artfully'],['art'],['art']
arteri,['arterys'],['artery'],['arteri']
arteriolosclerosi,['arteriolosclerosis'],['arterioloscleros'],['arteriolosclerosi']
articul,['articulation'],['artic'],['articul']
asbesto,['asbestos'],['asbesto'],['asbesto']
ascertain,['ascertain'],['ascertain'],['ascertain']
asham,['ashamed'],['asham'],['asham']
ashman,['ashman'],['ashm'],['ashman']
asian,['asian'],['as'],['asian']
ask,['asks'],['ask'],['ask']
ass,['asses'],['ass'],['ass']
assail,"['assailed', 'assailants', 'assailant']","['assail', 'assail', 'assail']","['assail', 'assail', 'assail']"
assassin,['assassination'],['assassin'],['assassin']
assault,['assaulting'],['assault'],['assault']
assent,['assent'],['ass'],['assent']
assert,"['asserted', 'assertions']","['assert', 'assert']","['assert', 'assert']"
asses,['assesment'],['asses'],['asses']
assign,['assigning'],['assign'],['assign']
assimil,['assimilated'],['assimil'],['assimil']
assort,['assortment'],['assort'],['assort']
assum,['assumed'],['assum'],['assum']
assur,['assures'],['ass'],['assur']
astart,['astarte'],['astart'],['astart']
asthma,['asthma'],['asthm'],['asthma']
astray,['astray'],['astray'],['astray']
astronomi,['astronomy'],['astronom'],['astronomi']
asymmetr,['asymmetrically'],['asymmet'],['asymmetr']
atheist,['atheistic'],['ath'],['atheist']
atlantica,['atlantica'],['atlantic'],['atlantica']
atmospher,"['atmosphere', 'atmospheres']","['atmosph', 'atmosph']","['atmospher', 'atmospher']"
atop,['atop'],['atop'],['atop']
atroph,['atrophic'],['atroph'],['atroph']
attend,"['attendance', 'attendant']","['attend', 'attend']","['attend', 'attend']"
attent,['attentively'],['at'],['attent']
attract,['attract'],['attract'],['attract']
attribut,['attributed'],['attribut'],['attribut']
attu,['attu'],['attu'],['attu']
atwel,['atwells'],['atwel'],['atwel']
auditor,['auditors'],['audit'],['auditor']
audivi,['audivi'],['audiv'],['audivi']
augen,['augen'],['aug'],['augen']
aurora,['aurora'],['auror'],['aurora']
auster,"['austere', 'austerity']","['aust', 'aust']","['auster', 'auster']"
austin,['austin'],['austin'],['austin']
austria,['austria'],['austr'],['austria']
authent,['authentications'],['auth'],['authent']
author,"['authorized', 'authorization']","['auth', 'auth']","['author', 'author']"
authorship,['authorship'],['auth'],['authorship']
autist,['autistic'],['aut'],['autist']
autonom,['autonomic'],['autonom'],['autonom']
autosuggest,['autosuggestibility'],['autosuggest'],['autosuggest']
avali,['avaliable'],['avaly'],['avali']
avert,['avert'],['avert'],['avert']
avi,['avis'],['av'],['avi']
aw,['awful'],['aw'],['aw']
await,['awaited'],['await'],['await']
awaken,['awakening'],['awak'],['awaken']
awash,['awash'],['awash'],['awash']
aye,['aye'],['ay'],['aye']
bach,['bach'],['bach'],['bach']
baci,['baci'],['bac'],['baci']
backpack,['backpack'],['backpack'],['backpack']
backstag,['backstage'],['backst'],['backstag']
baden,['baden'],['bad'],['baden']
badura,['badura'],['badur'],['badura']
bagh,['bagh'],['bagh'],['bagh']
bahia,['bahia'],['bah'],['bahia']
bailli,['bailly'],['bail'],['bailli']
baird,['baird'],['baird'],['baird']
baiter,['baiter'],['bait'],['baiter']
balagu,['balaguer'],['balagu'],['balagu']
balanc,['balances'],['bal'],['balanc']
balconi,['balcony'],['balcony'],['balconi']
balkan,['balkanize'],['balk'],['balkan']
ball,['balling'],['bal'],['ball']
ballard,['ballards'],['ballard'],['ballard']
balustrad,['balustrade'],['balustrad'],['balustrad']
banana,['bananas'],['banana'],['banana']
band,['banded'],['band'],['band']
bandag,['bandaging'],['band'],['bandag']
bandol,['bandoleers'],['bandol'],['bandol']
bandon,['bandon'],['bandon'],['bandon']
bandwagon,['bandwagon'],['bandwagon'],['bandwagon']
bang,"['banged', 'bangs']","['bang', 'bang']","['bang', 'bang']"
bank,['banked'],['bank'],['bank']
baptist,['baptists'],['bapt'],['baptist']
baptisteri,['baptistery'],['baptistery'],['baptisteri']
barber,['barber'],['barb'],['barber']
barco,['barcos'],['barco'],['barco']
barcu,['barcus'],['barc'],['barcus']
barefoot,['barefoot'],['barefoot'],['barefoot']
barg,['barges'],['barg'],['barg']
barkeep,['barkeep'],['barkeep'],['barkeep']
barl,['barl'],['barl'],['barl']
barnard,['barnard'],['barnard'],['barnard']
barnyard,['barnyard'],['barnyard'],['barnyard']
baron,['baron'],['baron'],['baron']
barr,['barre'],['bar'],['barr']
barrack,['barracks'],['barrack'],['barrack']
barrel,['barrel'],['barrel'],['barrel']
bartend,['bartender'],['bartend'],['bartend']
barth,['barth'],['bar'],['barth']
bartok,['bartok'],['bartok'],['bartok']
base,"['based', 'basing']","['bas', 'bas']","['base', 'base']"
baseman,['baseman'],['basem'],['baseman']
basil,['basils'],['basil'],['basil']
bask,['basking'],['bask'],['bask']
basler,['basler'],['basl'],['basler']
bast,['basting'],['bast'],['bast']
battalion,['battalions'],['bat'],['battalion']
batter,['batter'],['bat'],['batter']
battlefront,['battlefront'],['battlefront'],['battlefront']
bauhau,['bauhaus'],['bauha'],['bauhaus']
bavaria,['bavaria'],['bavar'],['bavaria']
bawdi,['bawdy'],['bawdy'],['bawdi']
beaker,['beakers'],['beak'],['beaker']
bearden,['bearden'],['beard'],['bearden']
beardown,['beardown'],['beardown'],['beardown']
beat,['beating'],['beat'],['beat']
beauti,['beautys'],['beauty'],['beauti']
beautifi,['beautify'],['beaut'],['beautifi']
beaux,['beaux'],['beaux'],['beaux']
becomin,['becomin'],['becomin'],['becomin']
bede,['bede'],['bed'],['bede']
bedsid,['bedside'],['bedsid'],['bedsid']
beecher,['beecher'],['beech'],['beecher']
beethoven,['beethoven'],['beethov'],['beethoven']
beetl,['beetles'],['beetl'],['beetl']
befoh,['befoh'],['befoh'],['befoh']
befuddl,['befuddles'],['befuddl'],['befuddl']
behahn,['behahn'],['behahn'],['behahn']
behynd,['behynde'],['behynd'],['behynd']
belfri,['belfry'],['belfry'],['belfri']
belief,['belief'],['believ'],['belief']
believ,['believers'],['believ'],['believ']
belli,['belly'],['bel'],['belli']
belong,['belongs'],['belong'],['belong']
belveder,['belvedere'],['belv'],['belveder']
bench,['benches'],['bench'],['bench']
benchmark,['benchmarks'],['benchmark'],['benchmark']
beneficiari,['beneficiary'],['beneficy'],['beneficiari']
bennington,['bennington'],['bennington'],['bennington']
bereav,['bereavements'],['bereav'],['bereav']
berger,['bergers'],['berg'],['berger']
berl,['berle'],['berl'],['berl']
berlin,"['berlins', 'berliners']","['berlin', 'berlin']","['berlin', 'berlin']"
bernardo,['bernardo'],['bernardo'],['bernardo']
bernhardt,['bernhardt'],['bernhardt'],['bernhardt']
berniec,['berniece'],['berniec'],['berniec']
berrellez,['berrellez'],['berrellez'],['berrellez']
bert,['bert'],['bert'],['bert']
bertha,['bertha'],['berth'],['bertha']
bertrand,['bertrand'],['bertrand'],['bertrand']
beryl,['beryl'],['beryl'],['beryl']
bess,['bess'],['bess'],['bess']
bester,['bester'],['best'],['bester']
better,['bettering'],['bet'],['better']
bevel,['bevels'],['bevel'],['bevel']
bewitch,['bewitched'],['bewitch'],['bewitch']
bibl,['bible'],['bibl'],['bibl']
biblic,['biblically'],['bibl'],['biblic']
bicker,['bickering'],['bick'],['bicker']
bidder,['bidder'],['bid'],['bidder']
binder,['binders'],['bind'],['binder']
bindl,['bindle'],['bindl'],['bindl']
binuclear,['binuclear'],['binuclear'],['binuclear']
bio,['bio'],['bio'],['bio']
biochem,['biochemical'],['biochem'],['biochem']
biolog,['biological'],['biolog'],['biolog']
biplan,['biplane'],['bipl'],['biplan']
birch,['birch'],['birch'],['birch']
birdi,['birdied'],['birdy'],['birdi']
birthcontrol,['birthcontrol'],['birthcontrol'],['birthcontrol']
birthright,['birthright'],['birthright'],['birthright']
bishop,['bishop'],['bishop'],['bishop']
biwa,['biwa'],['biw'],['biwa']
bix,['bix'],['bix'],['bix']
biz,['biz'],['biz'],['biz']
blackboard,['blackboard'],['blackboard'],['blackboard']
blackmail,['blackmailer'],['blackmail'],['blackmail']
blackston,['blackstone'],['blackston'],['blackston']
blanch,['blanched'],['blanch'],['blanch']
blanket,['blanket'],['blanket'],['blanket']
blasphemi,['blasphemy'],['blasphemy'],['blasphemi']
blaze,['blazed'],['blaz'],['blaze']
blazon,['blazon'],['blazon'],['blazon']
bleach,['bleaching'],['bleach'],['bleach']
blemish,['blemishes'],['blem'],['blemish']
blight,['blighted'],['blight'],['blight']
blind,"['blind', 'blindness']","['blind', 'blind']","['blind', 'blind']"
bliss,['blissful'],['bliss'],['bliss']
blizzard,['blizzards'],['blizzard'],['blizzard']
bloat,['bloated'],['blo'],['bloat']
bloch,['bloch'],['bloch'],['bloch']
block,['block'],['block'],['block']
blomdahl,['blomdahl'],['blomdahl'],['blomdahl']
bloodlust,['bloodlust'],['bloodlust'],['bloodlust']
bloomfield,['bloomfield'],['bloomfield'],['bloomfield']
blossom,['blossom'],['blossom'],['blossom']
blot,['blotted'],['blot'],['blot']
blow,"['blowing', 'blow']","['blow', 'blow']","['blow', 'blow']"
blowfish,['blowfish'],['blowf'],['blowfish']
bluish,['bluish'],['blu'],['bluish']
blunder,['blunders'],['blund'],['blunder']
blunt,['blunts'],['blunt'],['blunt']
blurri,['blurry'],['blurry'],['blurri']
blush,['blushes'],['blush'],['blush']
blvd,['blvd'],['blvd'],['blvd']
bob,['bobbed'],['bob'],['bob']
bockwurst,['bockwurst'],['bockwurst'],['bockwurst']
bodi,['body'],['body'],['bodi']
bodyweight,['bodyweight'],['bodyweight'],['bodyweight']
bog,['bogged'],['bog'],['bog']
bogu,['bogus'],['bog'],['bogus']
boi,['boies'],['boi'],['boi']
boil,"['boiling', 'boil']","['boil', 'boil']","['boil', 'boil']"
bolet,['bolet'],['bolet'],['bolet']
bolshevik,['bolsheviks'],['bolshevik'],['bolshevik']
bond,"['bonded', 'bond']","['bond', 'bond']","['bond', 'bond']"
bonheur,['bonheur'],['bonh'],['bonheur']
bonni,['bonnie'],['bonny'],['bonni']
bontempo,['bontempo'],['bontempo'],['bontempo']
booklet,['booklets'],['booklet'],['booklet']
bookshelf,['bookshelf'],['bookshelf'],['bookshelf']
boonton,['boonton'],['boonton'],['boonton']
boost,['boosting'],['boost'],['boost']
boot,['boots'],['boot'],['boot']
bordeau,['bordeau'],['bordeau'],['bordeau']
border,['border'],['bord'],['border']
bordner,['bordner'],['bordn'],['bordner']
borrow,['borrowing'],['borrow'],['borrow']
bossman,['bossman'],['bossm'],['bossman']
bottega,['bottega'],['botteg'],['bottega']
botulin,['botulinal'],['botulin'],['botulin']
boundari,['boundary'],['bound'],['boundari']
bourgeoisi,['bourgeoisie'],['bourgeoisy'],['bourgeoisi']
bourn,['bourn'],['bourn'],['bourn']
bow,"['bowed', 'bows']","['bow', 'bow']","['bow', 'bow']"
bowden,['bowden'],['bowd'],['bowden']
bowdoin,['bowdoin'],['bowdoin'],['bowdoin']
boxford,['boxford'],['boxford'],['boxford']
boxi,['boxy'],['boxy'],['boxi']
boxwood,['boxwood'],['boxwood'],['boxwood']
boyar,['boyars'],['boy'],['boyar']
boyd,['boyd'],['boyd'],['boyd']
boyhood,['boyhood'],['boy'],['boyhood']
boyish,['boyish'],['boy'],['boyish']
bradykinin,['bradykinin'],['bradykinin'],['bradykinin']
brain,['brained'],['brain'],['brain']
brassbound,['brassbounds'],['brassbound'],['brassbound']
braver,['braver'],['brav'],['braver']
break,['break'],['break'],['break']
breaker,['breaker'],['break'],['breaker']
breezi,['breezy'],['breezy'],['breezi']
brendan,['brendan'],['brend'],['brendan']
brest,['brest'],['brest'],['brest']
bridg,['bridges'],['bridg'],['bridg']
bridgewat,['bridgewater'],['bridgew'],['bridgewat']
briefer,['briefer'],['brief'],['briefer']
briefli,['briefly'],['brief'],['briefli']
brighten,['brightens'],['bright'],['brighten']
bristol,['bristol'],['bristol'],['bristol']
britain,['britain'],['britain'],['britain']
britann,['britannic'],['britan'],['britann']
briton,['britons'],['briton'],['briton']
britten,['britten'],['brit'],['britten']
broker,['broker'],['brok'],['broker']
bronchiolar,['bronchiolar'],['bronchiol'],['bronchiolar']
brood,['broods'],['brood'],['brood']
brookmey,['brookmeyers'],['brookmey'],['brookmey']
brown,['browns'],['brown'],['brown']
brownish,['brownish'],['brown'],['brownish']
bruis,['bruised'],['bru'],['bruis']
bruit,['bruited'],['bruit'],['bruit']
brushlik,['brushlike'],['brushlik'],['brushlik']
bryson,['bryson'],['bryson'],['bryson']
bt,['bt'],['bt'],['bt']
buc,['bucs'],['buc'],['buc']
buccol,['buccolic'],['buccol'],['buccol']
buckley,['buckley'],['buckley'],['buckley']
buddhist,['buddhist'],['buddh'],['buddhist']
budget,['budgets'],['budget'],['budget']
bugey,['bugeyed'],['bugey'],['bugey']
bugger,['buggers'],['bug'],['bugger']
bugl,['bugle'],['bugl'],['bugl']
buildin,['buildin'],['buildin'],['buildin']
buildup,['buildup'],['buildup'],['buildup']
bulb,['bulb'],['bulb'],['bulb']
bulkhead,['bulkheads'],['bulkhead'],['bulkhead']
bulki,['bulky'],['bulky'],['bulki']
bulli,['bullying'],['bul'],['bulli']
bum,['bumming'],['bum'],['bum']
bureaucrat,['bureaucrats'],['bureaucr'],['bureaucrat']
burk,['burkes'],['burk'],['burk']
burman,['burman'],['burm'],['burman']
burmes,['burmese'],['burmes'],['burmes']
burn,['burning'],['burn'],['burn']
burton,['burton'],['burton'],['burton']
buster,['buster'],['bust'],['buster']
bustl,"['bustle', 'bustling']","['bustl', 'bustl']","['bustl', 'bustl']"
but,['butted'],['but'],['but']
butcher,['butcher'],['butch'],['butcher']
butteri,['buttery'],['buttery'],['butteri']
button,['buttons'],['button'],['button']
buttress,['buttresses'],['buttress'],['buttress']
buy,['buy'],['buy'],['buy']
buzz,['buzzs'],['buzz'],['buzz']
byer,['byer'],['byer'],['byer']
bylot,['bylot'],['bylot'],['bylot']
bypass,['bypassed'],['bypass'],['bypass']
cab,['cab'],['cab'],['cab']
cabinet,['cabinet'],['cabinet'],['cabinet']
cadillac,['cadillacs'],['cadillac'],['cadillac']
cadr,['cadre'],['cadr'],['cadr']
cafe,['cafes'],['caf'],['cafe']
cage,['cages'],['cag'],['cage']
cairoli,['cairoli'],['cairol'],['cairoli']
caldwel,['caldwells'],['caldwel'],['caldwel']
caleb,['caleb'],['caleb'],['caleb']
calif,['calif'],['cal'],['calif']
californian,['californians'],['californ'],['californian']
call,['called'],['cal'],['call']
callabl,['callable'],['cal'],['callabl']
calligraphi,['calligraphy'],['calligraph'],['calligraphi']
calorimetr,['calorimetric'],['calorimet'],['calorimetr']
calud,['calude'],['calud'],['calud']
calvari,['calvary'],['calv'],['calvari']
cambridg,['cambridge'],['cambridg'],['cambridg']
camp,"['camped', 'camps']","['camp', 'camp']","['camp', 'camp']"
campaign,['campaigners'],['campaign'],['campaign']
campground,"['campground', 'campgrounds']","['campground', 'campground']","['campground', 'campground']"
campobello,['campobello'],['campobello'],['campobello']
campsit,['campsites'],['campsit'],['campsit']
campu,['campus'],['camp'],['campus']
cancel,['cancellation'],['cancel'],['cancel']
candid,['candide'],['candid'],['candid']
candlewick,['candlewick'],['candlewick'],['candlewick']
canneri,"['canneries', 'cannery']","['cannery', 'cannery']","['canneri', 'canneri']"
canon,['canons'],['canon'],['canon']
canva,['canvas'],['canva'],['canva']
canvass,['canvassing'],['canvass'],['canvass']
caper,"['capering', 'capers']","['cap', 'cap']","['caper', 'caper']"
capistrano,['capistrano'],['capistrano'],['capistrano']
capit,"['capitalize', 'capitalizing']","['capit', 'capit']","['capit', 'capit']"
capitalist,['capitalists'],['capit'],['capitalist']
caramel,['caramel'],['caramel'],['caramel']
carcass,['carcass'],['carcass'],['carcass']
cardboard,['cardboard'],['cardboard'],['cardboard']
cardiac,['cardiac'],['cardiac'],['cardiac']
care,"['caring', 'cares', 'carefulness']","['car', 'car', 'car']","['care', 'care', 'care']"
carefre,['carefree'],['carefr'],['carefre']
caress,['caress'],['caress'],['caress']
caricatur,['caricature'],['car'],['caricatur']
carleton,['carletons'],['carleton'],['carleton']
carload,['carloading'],['carload'],['carload']
carlson,['carlson'],['carlson'],['carlson']
carolin,['caroline'],['carolin'],['carolin']
carpet,['carpeted'],['carpet'],['carpet']
carti,['carty'],['carty'],['carti']
carv,['carvings'],['carv'],['carv']
cascad,['cascade'],['cascad'],['cascad']
casino,['casinos'],['casino'],['casino']
castanet,['castanets'],['castanet'],['castanet']
castig,['castigated'],['castig'],['castig']
castl,['castle'],['castl'],['castl']
cataton,['catatonic'],['cataton'],['cataton']
catch,['catching'],['catch'],['catch']
catech,['catechism'],['catech'],['catech']
cathol,['catholics'],['cathol'],['cathol']
catinari,['catinari'],['catinar'],['catinari']
caus,['causative'],['caus'],['causat']
cave,['caving'],['cav'],['cave']
caveat,['caveat'],['cav'],['caveat']
cayenn,['cayenne'],['cayen'],['cayenn']
ceaseless,['ceaseless'],['ceaseless'],['ceaseless']
ceil,['ceil'],['ceil'],['ceil']
celeb,['celebes'],['celeb'],['celeb']
celebr,['celebrates'],['celebr'],['celebr']
cell,['cells'],['cel'],['cell']
cellar,['cellar'],['cell'],['cellar']
cellist,['cellist'],['cel'],['cellist']
cement,"['cemented', 'cement']","['cem', 'cem']","['cement', 'cement']"
censur,['censured'],['cens'],['censur']
central,"['central', 'centrals']","['cent', 'cent']","['central', 'central']"
centum,['centum'],['cent'],['centum']
certifi,['certifying'],['cert'],['certifi']
cervetto,['cervetto'],['cervetto'],['cervetto']
cest,['cest'],['cest'],['cest']
cestr,['cestre'],['cest'],['cestr']
chais,['chaise'],['cha'],['chais']
chalon,['chalon'],['chalon'],['chalon']
chamfer,['chamfer'],['chamf'],['chamfer']
chamoi,['chamois'],['chamo'],['chamoi']
champagn,['champagne'],['champagn'],['champagn']
chan,['channing'],['chan'],['chan']
chanceri,['chancery'],['chancery'],['chanceri']
chandel,['chandelle'],['chandel'],['chandell']
chandeli,['chandeliers'],['chand'],['chandeli']
channel,['channeled'],['channel'],['channel']
chanson,['chansons'],['chanson'],['chanson']
chanter,['chanter'],['chant'],['chanter']
chaplain,['chaplain'],['chaplain'],['chaplain']
chapter,['chapter'],['chapt'],['chapter']
char,"['charred', 'char']","['char', 'char']","['char', 'char']"
charit,['charitably'],['charit'],['charit']
charless,['charless'],['charless'],['charless']
charley,['charleys'],['charley'],['charley']
chase,['chase'],['chas'],['chase']
chat,['chatted'],['chat'],['chat']
chauffeur,['chauffeured'],['chauff'],['chauffeur']
chauncey,['chauncey'],['chauncey'],['chauncey']
che,['che'],['che'],['che']
check,['checking'],['check'],['check']
cheer,"['cheer', 'cheerfulness']","['che', 'che']","['cheer', 'cheer']"
