,index,Original,Porter,Lancaster,Snowball
236,1223,hydrophobic,hydrophob,hydrophob,hydrophob
237,1224,aerobic,aerob,aerob,aerob
238,1225,anaerobic,anaerob,anaerob,anaerob
239,1229,sporadic,sporad,sporad,sporad
240,1232,icelandic,iceland,iceland,iceland
241,1234,periodic,period,period,period
242,1235,melodic,melod,melod,melod
243,1236,prosodic,prosod,prosod,prosod
244,1253,nostalgic,nostalg,nostalg,nostalg
245,1255,morphologic,morpholog,morpholog,morpholog
246,1256,pathologic,patholog,patholog,patholog
247,1257,biologic,biolog,biolog,biolog
248,1258,physiologic,physiolog,physiolog,physiolog
249,1259,phonologic,phonolog,phonolog,phonolog
250,1260,allergic,allerg,allerg,allerg
251,1261,chic,chic,chic,chic
252,1262,anarchic,anarch,anarch,anarch
253,1265,telegraphic,telegraph,telegraph,telegraph
254,1266,geographic,geograph,geograph,geograph
255,1267,choreographic,choreograph,choreograph,choreograph
256,1268,orthographic,orthograph,orthograph,orthograph
257,1269,autobiographic,autobiograph,autobiograph,autobiograph
258,1270,encephalographic,encephalograph,encephalograph,encephalograph
259,1271,crystallographic,crystallograph,crystallograph,crystallograph
260,1272,demographic,demograph,demograph,demograph
261,1273,oceanographic,oceanograph,oceanograph,oceanograph
262,1274,pornographic,pornograph,pornograph,pornograph
263,1275,topographic,topograph,topograph,topograph
264,1276,typographic,typograph,typograph,typograph
265,1278,photographic,photograph,photograph,photograph
266,1279,cryptographic,cryptograph,cryptograph,cryptograph
267,1281,atrophic,atroph,atroph,atroph
268,1282,thyrotrophic,thyrotroph,thyrotroph,thyrotroph
269,1283,catastrophic,catastroph,catastroph,catastroph
270,1284,philosophic,philosoph,philosoph,philosoph
271,1286,metamorphic,metamorph,metamorph,metamorph
272,1287,anthropomorphic,anthropomorph,anthropomorph,anthropomorph
273,1288,psychopathic,psychopath,psychopath,psychopath
274,1290,monolithic,monolith,monolith,monolith
275,1292,anorthic,anorth,anorth,anorth
276,1296,republic,republ,republ,republ
277,1297,semipublic,semipubl,semipubl,semipubl
278,1299,angelic,angel,angel,angel
279,1301,oleophilic,oleophil,oleophil,oleophil
280,1302,eosinophilic,eosinophil,eosinophil,eosinophil
281,1303,hydrophilic,hydrophil,hydrophil,hydrophil
282,1304,basophilic,basophil,basophil,basophil
283,1305,metallic,metal,metal,metal
284,1306,nonmetallic,nonmetal,nonmetal,nonmetal
285,1307,idyllic,idyl,idyl,idyl
286,1308,metabolic,metabol,metabol,metabol
287,1309,symbolic,symbol,symbol,symbol
288,1310,hyperbolic,hyperbol,hyperbol,hyperbol
289,1311,buccolic,buccol,buccol,buccol
290,1312,bucolic,bucol,bucol,bucol
291,1313,alcoholic,alcohol,alcohol,alcohol
292,1314,catholic,cathol,cathol,cathol
293,1315,vitriolic,vitriol,vitriol,vitriol
294,1317,apostolic,apostol,apostol,apostol
295,1320,acrylic,acryl,acryl,acryl
296,1321,hypothalamic,hypothalam,hypothalam,hypothalam
297,1322,islamic,islam,islam,islam
298,1323,dynamic,dynam,dynam,dynam
299,1324,thermodynamic,thermodynam,thermodynam,thermodynam
300,1325,aerodynamic,aerodynam,aerodynam,aerodynam
301,1326,ceramic,ceram,ceram,ceram
302,1327,panoramic,panoram,panoram,panoram
303,1328,glutamic,glutam,glutam,glutam
304,1329,academic,academ,academ,academ
305,1330,epidemic,epidem,epidem,epidem
306,1331,pandemic,pandem,pandem,pandem
307,1332,morphemic,morphem,morphem,morphem
308,1333,polemic,polem,polem,polem
309,1334,anemic,anem,anem,anem
310,1335,phonemic,phonem,phonem,phonem
311,1336,morphophonemic,morphophonem,morphophonem,morphophonem
312,1337,hyperemic,hyperem,hyperem,hyperem
313,1338,totemic,totem,totem,totem
314,1339,systemic,system,system,system
315,1340,diaphragmic,diaphragm,diaphragm,diaphragm
316,1343,pantomimic,pantomim,pantomim,pantomim
317,1344,ophthalmic,ophthalm,ophthalm,ophthalm
318,1346,tragicomic,tragicom,tragicom,tragicom
319,1347,anomic,anom,anom,anom
320,1348,economic,econom,econom,econom
321,1349,uneconomic,uneconom,uneconom,uneconom
322,1350,socioeconomic,socioeconom,socioeconom,socioeconom
323,1351,autonomic,autonom,autonom,autonom
324,1352,chromic,chromic,chromic,chromic
325,1353,atomic,atom,atom,atom
326,1354,subatomic,subatom,subatom,subatom
327,1355,diatomic,diatom,diatom,diatom
328,1356,anatomic,anatom,anatom,anatom
329,1357,hypodermic,hypoderm,hypoderm,hypoderm
330,1358,endothermic,endotherm,endotherm,endotherm
331,1359,exothermic,exotherm,exotherm,exotherm
332,1360,protoplasmic,protoplasm,protoplasm,protoplasm
333,1364,cataclysmic,cataclysm,cataclysm,cataclysm
334,1386,polytechnic,polytechn,polytechn,polytechn
335,1389,monoclinic,monoclin,monoclin,monoclin
336,1390,dominic,domin,domin,domin
337,1393,sardonic,sardon,sardon,sardon
338,1394,napoleonic,napoleon,napoleon,napoleon
339,1396,symphonic,symphon,symphon,symphon
340,1397,stereophonic,stereophon,stereophon,stereophon
341,1398,monophonic,monophon,monophon,monophon
342,1404,aniseikonic,aniseikon,aniseikon,aniseikon
343,1407,harmonic,harmon,harmon,harmon
344,1408,philharmonic,philharmon,philharmon,philharmon
345,1409,chronic,chronic,chronic,chronic
346,1410,diachronic,diachron,diachron,diachron
347,1411,ironic,iron,iron,iron
348,1412,electronic,electron,electron,electron
349,1413,photoelectronic,photoelectron,photoelectron,photoelectron
350,1414,byronic,byron,byron,byron
351,1416,masonic,mason,mason,mason
352,1417,ultrasonic,ultrason,ultrason,ultrason
353,1418,supersonic,superson,superson,superson
354,1420,platonic,platon,platon,platon
355,1421,catatonic,cataton,cataton,cataton
356,1422,architectonic,architecton,architecton,architecton
357,1423,miltonic,milton,milton,milton
358,1424,isotonic,isoton,isoton,isoton
359,1425,hairtonic,hairton,hairton,hairton
360,1426,teutonic,teuton,teuton,teuton
361,1427,embryonic,embryon,embryon,embryon
362,1432,aminobenzoic,aminobenzo,aminobenzo,aminobenzo
363,1434,adipic,adip,adip,adip
364,1435,olympic,olymp,olymp,olymp
365,1436,telescopic,telescop,telescop,telescop
366,1437,microscopic,microscop,microscop,microscop
367,1438,philanthropic,philanthrop,philanthrop,philanthrop
368,1440,ergotropic,ergotrop,ergotrop,ergotrop
369,1441,isotropic,isotrop,isotrop,isotrop
370,1443,isotopic,isotop,isotop,isotop
371,1445,spic,spic,spic,spic
372,1447,bric,bric,bric,bric
373,1462,satiric,satir,satir,satir
374,1499,sic,sic,sic,sic
375,1501,forensic,forens,forens,forens
376,1502,intrinsic,intrins,intrins,intrins
377,1505,metaphysic,metaphys,metaphys,metaphys
378,1506,tic,tic,tic,tic
379,1556,galactic,galact,galact,galact
380,1557,climactic,climact,climact,climact
381,1559,syntactic,syntact,syntact,syntact
382,1561,dialectic,dialect,dialect,dialect
383,1562,eclectic,eclect,eclect,eclect
384,1563,eutectic,eutect,eutect,eutect
385,1565,alphabetic,alphabet,alphabet,alphabet
386,1566,diabetic,diabet,diabet,diabet
387,1567,oxaloacetic,oxaloacet,oxaloacet,oxaloacet
388,1568,trichloroacetic,trichloroacet,trichloroacet,trichloroacet
389,1569,ascetic,ascet,ascet,ascet
390,1570,eidetic,eidet,eidet,eidet
391,1571,geodetic,geodet,geodet,geodet
392,1572,apologetic,apologet,apologet,apologet
393,1573,energetic,energet,energet,energet
394,1574,prophetic,prophet,prophet,prophet
395,1575,pathetic,pathet,pathet,pathet
396,1576,apathetic,apathet,apathet,apathet
397,1577,sympathetic,sympathet,sympathet,sympathet
398,1578,parasympathetic,parasympathet,parasympathet,parasympathet
399,1579,unsympathetic,unsympathet,unsympathet,unsympathet
400,1580,parsympathetic,parsympathet,parsympathet,parsympathet
401,1581,synthetic,synthet,synthet,synthet
402,1582,esthetic,esthet,esthet,esthet
403,1583,aesthetic,aesthet,aesthet,aesthet
404,1584,anesthetic,anesthet,anesthet,anesthet
405,1585,kinesthetic,kinesthet,kinesthet,kinesthet
406,1586,athletic,athlet,athlet,athlet
407,1587,arithmetic,arithmet,arithmet,arithmet
408,1588,mimetic,mimet,mimet,mimet
409,1589,hermetic,hermet,hermet,hermet
410,1590,cosmetic,cosmet,cosmet,cosmet
411,1591,genetic,genet,genet,genet
412,1592,epigenetic,epigenet,epigenet,epigenet
413,1594,frenetic,frenet,frenet,frenet
414,1595,magnetic,magnet,magnet,magnet
415,1596,paramagnetic,paramagnet,paramagnet,paramagnet
416,1597,ferromagnetic,ferromagnet,ferromagnet,ferromagnet
417,1598,electromagnetic,electromagnet,electromagnet,electromagnet
418,1599,kinetic,kinet,kinet,kinet
419,1600,phonetic,phonet,phonet,phonet
420,1602,heretic,heret,heret,heret
421,1603,cathodophoretic,cathodophoret,cathodophoret,cathodophoret
422,1604,dietetic,dietet,dietet,dietet
423,1605,politic,polit,polit,polit
424,1606,impolitic,impolit,impolit,impolit
425,1607,semitic,semit,semit,semit
426,1609,meteoritic,meteorit,meteorit,meteorit
427,1610,micrometeoritic,micrometeorit,micrometeorit,micrometeorit
428,1611,parasitic,parasit,parasit,parasit
429,1628,orthodontic,orthodont,orthodont,orthodont
430,1630,narcotic,narcot,narcot,narcot
431,1631,psychotic,psychot,psychot,psychot
432,1632,antibiotic,antibiot,antibiot,antibiot
433,1633,idiotic,idiot,idiot,idiot
434,1634,patriotic,patriot,patriot,patriot
435,1635,unpatriotic,unpatriot,unpatriot,unpatriot
436,1636,anastomotic,anastomot,anastomot,anastomot
437,1637,osmotic,osmot,osmot,osmot
438,1638,pyknotic,pyknot,pyknot,pyknot
439,1639,hypnotic,hypnot,hypnot,hypnot
440,1640,dromozootic,dromozoot,dromozoot,dromozoot
441,1641,necrotic,necrot,necrot,necrot
442,1642,erotic,erot,erot,erot
443,1644,neurotic,neurot,neurot,neurot
444,1645,asymptotic,asymptot,asymptot,asymptot
445,1646,exotic,exot,exot,exot
446,1647,quixotic,quixot,quixot,quixot
447,1648,analeptic,analept,analept,analept
448,1649,epileptic,epilept,epilept,epilept
449,1650,dyspeptic,dyspept,dyspept,dyspept
450,1652,aseptic,asept,asept,asept
451,1653,antiseptic,antisept,antisept,antisept
452,1654,ecliptic,eclipt,eclipt,eclipt
453,1655,apocalyptic,apocalypt,apocalypt,apocalypt
454,1657,bombastic,bombast,bombast,bombast
455,1658,sarcastic,sarcast,sarcast,sarcast
456,1659,stochastic,stochast,stochast,stochast
457,1660,multiphastic,multiphast,multiphast,multiphast
458,1661,orgiastic,orgiast,orgiast,orgiast
459,1662,enthusiastic,enthusiast,enthusiast,enthusiast
460,1663,unenthusiastic,unenthusiast,unenthusiast,unenthusiast
461,1664,elastic,elast,elast,elast
462,1665,viscoelastic,viscoelast,viscoelast,viscoelast
463,1668,thermoplastic,thermoplast,thermoplast,thermoplast
464,1670,gymnastic,gymnast,gymnast,gymnast
465,1671,monastic,monast,monast,monast
466,1672,dynastic,dynast,dynast,dynast
467,1674,periphrastic,periphrast,periphrast,periphrast
468,1675,fantastic,fantast,fantast,fantast
469,1676,majestic,majest,majest,majest
470,1677,domestic,domest,domest,domest
471,1738,diagnostic,diagnost,diagnost,diagnost
472,1739,acoustic,acoust,acoust,acoust
473,1743,therapeutic,therapeut,therapeut,therapeut
474,1744,psychotherapeutic,psychotherapeut,psychotherapeut,psychotherapeut
475,1752,vic,vic,vic,vic
476,1757,thyrotoxic,thyrotox,thyrotox,thyrotox
477,1758,kc,kc,kc,kc
478,1759,akc,akc,akc,akc
479,1760,mc,mc,mc,mc
480,1761,nc,nc,nc,nc
481,1767,doc,doc,doc,doc
482,1768,hoc,hoc,hoc,hoc
483,1769,loc,loc,loc,loc
484,1770,bloc,bloc,bloc,bloc
485,1771,floc,floc,floc,floc
486,1772,ormoc,ormoc,ormoc,ormoc
487,1773,maroc,maroc,maroc,maroc
488,1774,havoc,havoc,havoc,havoc
489,1775,awoc,awoc,awoc,awoc
490,1776,arc,arc,arc,arc
491,1777,marc,marc,marc,marc
492,1778,merc,merc,merc,merc
493,1779,sc,sc,sc,sc
494,1780,fsc,fsc,fsc,fsc
495,1781,disc,disc,disc,disc
496,1782,usc,usc,usc,usc
497,1783,etc,etc,etc,etc
498,1784,fitc,fitc,fitc,fitc
499,1785,rotc,rotc,rotc,rotc
500,1786,ptc,ptc,ptc,ptc
501,1787,gorboduc,gorboduc,gorboduc,gorboduc
502,1788,tuc,tuc,tuc,tuc
503,1789,avc,avc,avc,avc
504,1790,ewc,ewc,ewc,ewc
505,1791,swc,swc,swc,swc
506,1792,yc,yc,yc,yc
507,1793,ryc,ryc,ryc,ryc
508,1794,d,d,d,d
509,1795,ad,ad,ad,ad
510,1796,bad,bad,bad,bad
511,1797,forbad,forbad,forbad,forbad
512,1798,dad,dad,dad,dad
513,1799,hadad,hadad,hadad,hadad
514,1800,trinidad,trinidad,trinidad,trinidad
515,1801,grandad,grandad,grandad,grandad
516,1802,ciudad,ciudad,ciudad,ciudad
517,1803,bead,bead,bead,bead
518,1804,dead,dead,dead,dead
519,1805,head,head,head,head
520,1806,ahead,ahead,ahead,ahead
521,1807,redhead,redhead,redhead,redhead
522,1808,roundhead,roundhead,roundhead,roundhead
523,1809,godhead,godhead,godhead,godhead
524,1810,bridgehead,bridgehead,bridgehead,bridgehead
525,1811,winehead,winehead,winehead,winehead
526,1812,forehead,forehead,forehead,forehead
527,1813,whitehead,whitehead,whitehead,whitehead
528,1814,egghead,egghead,egghead,egghead
529,1815,beachhead,beachhead,beachhead,beachhead
530,1816,buckhead,buckhead,buckhead,buckhead
531,1817,bulkhead,bulkhead,bulkhead,bulkhead
532,1818,bankhead,bankhead,bankhead,bankhead
533,1819,birkhead,birkhead,birkhead,birkhead
534,1820,railhead,railhead,railhead,railhead
535,1821,fountainhead,fountainhead,fountainhead,fountainhead
536,1822,pinhead,pinhead,pinhead,pinhead
537,1823,spearhead,spearhead,spearhead,spearhead
538,1824,warhead,warhead,warhead,warhead
539,1825,letterhead,letterhead,letterhead,letterhead
540,1826,overhead,overhead,overhead,overhead
541,1827,showerhead,showerhead,showerhead,showerhead
542,1828,hollingshead,hollingshead,hollingshead,hollingshead
543,1829,flathead,flathead,flathead,flathead
544,1830,arrowhead,arrowhead,arrowhead,arrowhead
545,1831,lead,lead,lead,lead
546,1832,gilead,gilead,gilead,gilead
547,1833,plead,plead,plead,plead
548,1834,mead,mead,mead,mead
549,1835,knead,knead,knead,knead
550,1836,snead,snead,snead,snead
551,1837,read,read,read,read
552,1838,bread,bread,bread,bread
553,1839,beebread,beebread,beebread,beebread
554,1840,cornbread,cornbread,cornbread,cornbread
555,1841,dread,dread,dread,dread
556,1842,reread,reread,reread,reread
557,1843,thread,thread,thread,thread
558,1844,spread,spread,spread,spread
559,1845,bedspread,bedspread,bedspread,bedspread
560,1846,widespread,widespread,widespread,widespread
561,1847,outspread,outspread,outspread,outspread
562,1848,tread,tread,tread,tread
563,1849,stead,stead,stead,stead
564,1850,homestead,homestead,homestead,homestead
565,1851,volstead,volstead,volstead,volstead
566,1852,instead,instead,instead,instead
567,1853,hempstead,hempstead,hempstead,hempstead
568,1854,fad,fad,fad,fad
569,1855,galahad,galahad,galahad,galahad
570,1856,iliad,iliad,iliad,iliad
571,1857,triad,triad,triad,triad
572,1858,myriad,myriad,myriad,myriad
573,1859,lad,lad,lad,lad
574,1860,salad,salad,salad,salad
575,1861,clad,clad,clad,clad
576,1862,glad,glad,glad,glad
577,1863,ballad,ballad,ballad,ballad
578,1864,mad,mad,mad,mad
579,1865,ahmad,ahmad,ahmad,ahmad
580,1866,mohammad,mohammad,mohammad,mohammad
581,1867,muhammad,muhammad,muhammad,muhammad
582,1868,goad,goad,goad,goad
583,1869,load,load,load,load
584,1870,planeload,planeload,planeload,planeload
585,1871,armload,armload,armload,armload
586,1872,unload,unload,unload,unload
587,1873,carload,carload,carload,carload
588,1874,overload,overload,overload,overload
589,1875,boatload,boatload,boatload,boatload
590,1876,road,road,road,road
591,1877,broad,broad,broad,broad
592,1878,abroad,abroad,abroad,abroad
593,1879,highroad,highroad,highroad,highroad
594,1880,railroad,railroad,railroad,railroad
595,1881,toad,toad,toad,toad
596,1882,pad,pad,pad,pad
597,1883,brad,brad,brad,brad
598,1884,grad,grad,grad,grad
599,1885,varigrad,varigrad,varigrad,varigrad
600,1886,leningrad,leningrad,leningrad,leningrad
601,1887,conelrad,conelrad,conelrad,conelrad
602,1888,mrad,mrad,mrad,mrad
603,1889,spinrad,spinrad,spinrad,spinrad
604,1890,conrad,conrad,conrad,conrad
605,1891,konrad,konrad,konrad,konrad
606,1892,norad,norad,norad,norad
607,1893,sad,sad,sad,sad
608,1894,squad,squad,squad,squad
609,1895,bd,bd,bd,bd
610,1896,cd,cd,cd,cd
611,1897,bcd,bcd,bcd,bcd
612,1898,oecd,oecd,oecd,oecd
613,1906,ed,ed,ed,ed
614,1907,subpenaed,subpena,subpena,subpena
615,1908,bed,bed,bed,bed
616,1910,scabbed,scab,scab,scab
617,1911,dabbed,dab,dab,dab
618,1912,jabbed,jab,jab,jab
619,1913,blabbed,blab,blab,blab
620,1914,nabbed,nab,nab,nab
621,1915,crabbed,crab,crab,crab
622,1916,grabbed,grab,grab,grab
623,1917,stabbed,stab,stab,stab
624,1918,swabbed,swab,swab,swab
625,1919,nibbed,nib,nib,nib
626,1920,ribbed,rib,rib,rib
627,1921,bobbed,bob,bob,bob
628,1922,robbed,rob,rob,rob
629,1924,sobbed,sob,sob,sob
630,1925,dubbed,dub,dub,dub
631,1926,clubbed,club,club,club
632,1927,flubbed,flub,flub,flub
633,1928,snubbed,snub,snub,snub
634,1929,rubbed,rub,rub,rub
635,1931,stubbed,stub,stub,stub
636,1932,roadbed,roadb,roadb,roadb
637,1933,seedbed,seedb,seedb,seedb
638,1934,deathbed,deathb,deathb,deathb
639,1935,imbibed,imbib,imbib,imbib
640,1937,ascribed,ascrib,ascrib,ascrib
641,1938,subscribed,subscrib,subscrib,subscrib
642,1939,oversubscribed,oversubscrib,oversubscrib,oversubscrib
643,1940,described,describ,describ,describ
644,1941,prescribed,prescrib,prescrib,prescrib
645,1942,circumscribed,circumscrib,circumscrib,circumscrib
646,1943,transcribed,transcrib,transcrib,transcrib
647,1944,inscribed,inscrib,inscrib,inscrib
648,1945,proscribed,proscrib,proscrib,proscrib
649,1946,limbed,limb,limb,limb
650,1947,climbed,climb,climb,climb
651,1948,bombed,bomb,bomb,bomb
652,1949,combed,comb,comb,comb
653,1950,honeycombed,honeycomb,honeycomb,honeycomb
654,1951,entombed,entomb,entomb,entomb
655,1952,succumbed,succumb,succumb,succumb
656,1953,thumbed,thumb,thumb,thumb
657,1954,plumbed,plumb,plumb,plumb
658,1955,unplumbed,unplumb,unplumb,unplumb
