Lancaster,Original,Porter,Snowball
accardo,['accardo'],['accardo'],['accardo']
acceiv,"['accepted', 'acceptance', 'acceptable', 'accepting', 'accepts', 'accept', 'acceptability']","['accept', 'accept', 'accept', 'accept', 'accept', 'accept', 'accept']","['accept', 'accept', 'accept', 'accept', 'accept', 'accept', 'accept']"
accel,"['accelerated', 'accelerate', 'accelerating', 'acceleration', 'accelerator', 'accelerations', 'accelerators']","['acceler', 'acceler', 'acceler', 'acceler', 'acceler', 'acceler', 'acceler']","['acceler', 'acceler', 'acceler', 'acceler', 'acceler', 'acceler', 'acceler']"
acceleromet,"['accelerometer', 'accelerometers']","['acceleromet', 'acceleromet']","['acceleromet', 'acceleromet']"
accentu,"['accentuated', 'accentuate', 'accentuates']","['accentu', 'accentu', 'accentu']","['accentu', 'accentu', 'accentu']"
access,"['accessible', 'accessories', 'accesses', 'accessions', 'access', 'accessory', 'accessibility']","['access', 'accessori', 'access', 'access', 'access', 'accessori', 'access']","['access', 'accessori', 'access', 'access', 'access', 'accessori', 'access']"
accid,"['accidental', 'accidents', 'accident', 'accidentally']","['accident', 'accid', 'accid', 'accident']","['accident', 'accid', 'accid', 'accident']"
acclaim,"['acclaimed', 'acclaim', 'acclaims']","['acclaim', 'acclaim', 'acclaim']","['acclaim', 'acclaim', 'acclaim']"
acclam,['acclamation'],['acclam'],['acclam']
acclim,['acclimatized'],['acclimat'],['acclimat']
accolad,"['accolade', 'accolades']","['accolad', 'accolad']","['accolad', 'accolad']"
accommod,"['accommodated', 'accommodate', 'accommodating', 'accommodation', 'accommodates', 'accommodations']","['accommod', 'accommod', 'accommod', 'accommod', 'accommod', 'accommod']","['accommod', 'accommod', 'accommod', 'accommod', 'accommod', 'accommod']"
accomod,['accomodations'],['accomod'],['accomod']
accomp,"['accompanists', 'accompanist']","['accompanist', 'accompanist']","['accompanist', 'accompanist']"
accompany,"['accompanied', 'accompanying', 'accompanies', 'accompaniments', 'accompaniment', 'accompany']","['accompani', 'accompani', 'accompani', 'accompani', 'accompani', 'accompani']","['accompani', 'accompani', 'accompani', 'accompani', 'accompani', 'accompani']"
accompl,"['accomplished', 'accomplice', 'accomplishing', 'accomplish', 'accomplices', 'accomplishes', 'accomplishments', 'accomplishment']","['accomplish', 'accomplic', 'accomplish', 'accomplish', 'accomplic', 'accomplish', 'accomplish', 'accomplish']","['accomplish', 'accomplic', 'accomplish', 'accomplish', 'accomplic', 'accomplish', 'accomplish', 'accomplish']"
accord,"['accorded', 'accord', 'accordance', 'according', 'accordion', 'accords', 'accordingly']","['accord', 'accord', 'accord', 'accord', 'accordion', 'accord', 'accordingli']","['accord', 'accord', 'accord', 'accord', 'accordion', 'accord', 'accord']"
accost,"['accosted', 'accosting']","['accost', 'accost']","['accost', 'accost']"
account,"['accounted', 'accountable', 'accounting', 'accountants', 'accounts', 'accountant', 'account', 'accountability']","['account', 'account', 'account', 'account', 'account', 'account', 'account', 'account']","['account', 'account', 'account', 'account', 'account', 'account', 'account', 'account']"
accout,['accouterments'],['accouter'],['accouter']
accredit,"['accredited', 'accreditation']","['accredit', 'accredit']","['accredit', 'accredit']"
accret,"['accretion', 'accretions']","['accret', 'accret']","['accret', 'accret']"
accru,"['accrued', 'accruing', 'accrues']","['accru', 'accru', 'accru']","['accru', 'accru', 'accru']"
accult,"['acculturated', 'acculturation']","['accultur', 'accultur']","['accultur', 'accultur']"
accum,"['accumulated', 'accumulate', 'accumulating', 'accumulation', 'accumulates']","['accumul', 'accumul', 'accumul', 'accumul', 'accumul']","['accumul', 'accumul', 'accumul', 'accumul', 'accumul']"
accus,"['accused', 'accuse', 'accusing', 'accusation', 'accuses', 'accusations', 'accusingly']","['accus', 'accus', 'accus', 'accus', 'accus', 'accus', 'accusingli']","['accus', 'accus', 'accus', 'accus', 'accus', 'accus', 'accus']"
accustom,['accustomed'],['accustom'],['accustom']
acet,['acetate'],['acet'],['acet']
aceton,['acetone'],['aceton'],['aceton']
acetonem,['acetonemia'],['acetonemia'],['acetonemia']
acey,['acey'],['acey'],['acey']
ach,"['ached', 'ache', 'aching', 'aches']","['ach', 'ach', 'ach', 'ach']","['ach', 'ach', 'ach', 'ach']"
acha,['achaeans'],['achaean'],['achaean']
acheson,"['acheson', 'achesons']","['acheson', 'acheson']","['acheson', 'acheson']"
achiev,"['achieved', 'achieve', 'achieving', 'achieves', 'achievers', 'achievements', 'achievement']","['achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev']","['achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev']"
achil,['achilles'],['achil'],['achill']
acid,"['acid', 'acids', 'acidulous', 'acidity']","['acid', 'acid', 'acidul', 'acid']","['acid', 'acid', 'acidul', 'acid']"
ack,['ackerly'],['ackerli'],['acker']
acknowledg,"['acknowledged', 'acknowledge', 'acknowledging', 'acknowledges', 'acknowledgments', 'acknowledgement', 'acknowledgment']","['acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg']","['acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg']"
acolyt,['acolyte'],['acolyt'],['acolyt']
acont,['aconte'],['acont'],['acont']
acorn,['acorns'],['acorn'],['acorn']
acours,['acourse'],['acours'],['acours']
acoust,"['acoustic', 'acoustical', 'acoustics', 'acoustically']","['acoust', 'acoust', 'acoust', 'acoust']","['acoust', 'acoust', 'acoust', 'acoust']"
acquaint,"['acquainted', 'acquaintance', 'acquaint']","['acquaint', 'acquaint', 'acquaint']","['acquaint', 'acquaint', 'acquaint']"
acquiesc,"['acquiesced', 'acquiescence', 'acquiesce']","['acquiesc', 'acquiesc', 'acquiesc']","['acquiesc', 'acquiesc', 'acquiesc']"
acquir,"['acquired', 'acquire', 'acquiring', 'acquires']","['acquir', 'acquir', 'acquir', 'acquir']","['acquir', 'acquir', 'acquir', 'acquir']"
acquisit,"['acquisition', 'acquisitions', 'acquisitiveness']","['acquisit', 'acquisit', 'acquisit']","['acquisit', 'acquisit', 'acquisit']"
acquit,"['acquitted', 'acquittal']","['acquit', 'acquitt']","['acquit', 'acquitt']"
acquy,['acquiesence'],['acquies'],['acquies']
acr,"['acreage', 'acre', 'acres']","['acreag', 'acr', 'acr']","['acreag', 'acr', 'acr']"
acrid,['acrid'],['acrid'],['acrid']
acrob,"['acrobatic', 'acrobatics', 'acrobats', 'acrobacy']","['acrobat', 'acrobat', 'acrobat', 'acrobaci']","['acrobat', 'acrobat', 'acrobat', 'acrobaci']"
acropol,['acropolis'],['acropoli'],['acropoli']
across,['across'],['across'],['across']
acryl,['acrylic'],['acryl'],['acryl']
act,"['activated', 'acted', 'activate', 'active', 'activating', 'acting', 'actual', 'activism', 'activation', 'action', 'actor', 'actualities', 'activities', 'actives', 'actions', 'actors', 'acts', 'act', 'actively', 'actually', 'actuality', 'activity']","['activ', 'act', 'activ', 'activ', 'activ', 'act', 'actual', 'activ', 'activ', 'action', 'actor', 'actual', 'activ', 'activ', 'action', 'actor', 'act', 'act', 'activ', 'actual', 'actual', 'activ']","['activ', 'act', 'activ', 'activ', 'activ', 'act', 'actual', 'activ', 'activ', 'action', 'actor', 'actual', 'activ', 'activ', 'action', 'actor', 'act', 'act', 'activ', 'actual', 'actual', 'activ']"
actinomet,['actinometer'],['actinomet'],['actinomet']
actress,"['actresses', 'actress']","['actress', 'actress']","['actress', 'actress']"
actu,"['actuated', 'actuate', 'actuarial', 'actuarially']","['actuat', 'actuat', 'actuari', 'actuari']","['actuat', 'actuat', 'actuari', 'actuari']"
acum,['acumen'],['acumen'],['acumen']
acut,"['acute', 'acutely']","['acut', 'acut']","['acut', 'acut']"
ad,"['ada', 'ad', 'add', 'added', 'adored', 'ade', 'adage', 'adorable', 'adore', 'adding', 'adulation', 'ads', 'adds', 'adores']","['ada', 'ad', 'add', 'ad', 'ador', 'ade', 'adag', 'ador', 'ador', 'ad', 'adul', 'ad', 'add', 'ador']","['ada', 'ad', 'add', 'ad', 'ador', 'ade', 'adag', 'ador', 'ador', 'ad', 'adul', 'ad', 'add', 'ador']"
ada,['adas'],['ada'],['ada']
adagio,"['adagio', 'adagios']","['adagio', 'adagio']","['adagio', 'adagio']"
adair,"['adair', 'adairs']","['adair', 'adair']","['adair', 'adair']"
adam,"['adame', 'adam', 'adams', 'adamant', 'adamantly']","['adam', 'adam', 'adam', 'adam', 'adamantli']","['adam', 'adam', 'adam', 'adam', 'adam']"
adamo,['adamo'],['adamo'],['adamo']
adamson,['adamson'],['adamson'],['adamson']
adamss,['adamss'],['adamss'],['adamss']
adapt,"['adapted', 'adaptable', 'adaptive', 'adapting', 'adaptation', 'adapter', 'adaptations', 'adapters', 'adapt']","['adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt']","['adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt']"
adaptaplex,['adaptaplex'],['adaptaplex'],['adaptaplex']
adc,['adc'],['adc'],['adc']
adcock,['adcock'],['adcock'],['adcock']
addabbo,['addabbo'],['addabbo'],['addabbo']
addict,"['addicted', 'addiction', 'addicts', 'addict']","['addict', 'addict', 'addict', 'addict']","['addict', 'addict', 'addict', 'addict']"
addison,['addison'],['addison'],['addison']
addit,"['additive', 'additional', 'addition', 'additives', 'additions', 'additionally']","['addit', 'addit', 'addit', 'addit', 'addit', 'addit']","['addit', 'addit', 'addit', 'addit', 'addit', 'addit']"
addl,['addle'],['addl'],['addl']
address,"['addressed', 'addressing', 'addressees', 'addresses', 'address']","['address', 'address', 'addresse', 'address', 'address']","['address', 'address', 'addresse', 'address', 'address']"
adduc,['adduce'],['adduc'],['adduc']
adel,"['adelia', 'adele']","['adelia', 'adel']","['adelia', 'adel']"
adelo,['adelos'],['adelo'],['adelo']
adenau,"['adenauer', 'adenauers']","['adenau', 'adenau']","['adenau', 'adenau']"
adenoma,['adenomas'],['adenoma'],['adenoma']
adept,['adept'],['adept'],['adept']
adequ,"['adequate', 'adequacy', 'adequately']","['adequ', 'adequaci', 'adequ']","['adequ', 'adequaci', 'adequ']"
aderhold,['aderholds'],['aderhold'],['aderhold']
adh,"['adhered', 'adherence', 'adhere', 'adheres', 'adherents', 'adherent']","['adher', 'adher', 'adher', 'adher', 'adher', 'adher']","['adher', 'adher', 'adher', 'adher', 'adher', 'adher']"
adher,"['adhesive', 'adhesion', 'adhesives']","['adhes', 'adhes', 'adhes']","['adhes', 'adhes', 'adhes']"
adieu,['adieu'],['adieu'],['adieu']
adio,['adios'],['adio'],['adio']
adip,['adipic'],['adip'],['adip']
adirondack,"['adirondack', 'adirondacks']","['adirondack', 'adirondack']","['adirondack', 'adirondack']"
adjac,['adjacent'],['adjac'],['adjac']
adject,"['adjective', 'adjectival', 'adjectives']","['adject', 'adjectiv', 'adject']","['adject', 'adjectiv', 'adject']"
adjoin,"['adjoined', 'adjoining', 'adjoins']","['adjoin', 'adjoin', 'adjoin']","['adjoin', 'adjoin', 'adjoin']"
adjourn,"['adjourned', 'adjourning', 'adjourns', 'adjournment']","['adjourn', 'adjourn', 'adjourn', 'adjourn']","['adjourn', 'adjourn', 'adjourn', 'adjourn']"
adjud,"['adjudicate', 'adjudication']","['adjud', 'adjud']","['adjud', 'adjud']"
adjudg,"['adjudged', 'adjudging']","['adjudg', 'adjudg']","['adjudg', 'adjudg']"
adjunct,"['adjuncts', 'adjunct']","['adjunct', 'adjunct']","['adjunct', 'adjunct']"
adjust,"['adjusted', 'adjustable', 'adjusting', 'adjustments', 'adjusts', 'adjustment', 'adjust']","['adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust']","['adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust']"
adl,['adler'],['adler'],['adler']
adla,['adlai'],['adlai'],['adlai']
admassy,"['admassys', 'admassy']","['admassi', 'admassi']","['admassi', 'admassi']"
admin,"['administered', 'administrative', 'administering', 'administration', 'administer', 'administrator', 'administrations', 'administers', 'administrators', 'administratively']","['administ', 'administr', 'administ', 'administr', 'administ', 'administr', 'administr', 'administ', 'administr', 'administr']","['administ', 'administr', 'administ', 'administr', 'administ', 'administr', 'administr', 'administ', 'administr', 'administr']"
adminst,['adminstration'],['adminstr'],['adminstr']
admir,"['admired', 'admirable', 'admire', 'admiring', 'admiration', 'admirer', 'admires', 'admirals', 'admirers', 'admirably', 'admiringly']","['admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admiringli']","['admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir']"
admiral,['admiralty'],['admiralti'],['admiralti']
admiss,['admissible'],['admiss'],['admiss']
admit,"['admitted', 'admittance', 'admitting', 'admission', 'admissions', 'admits', 'admit', 'admittedly']","['admit', 'admitt', 'admit', 'admiss', 'admiss', 'admit', 'admit', 'admittedli']","['admit', 'admitt', 'admit', 'admiss', 'admiss', 'admit', 'admit', 'admit']"
admix,['admixed'],['admix'],['admix']
admon,"['admonished', 'admonishing', 'admonishments']","['admonish', 'admonish', 'admonish']","['admonish', 'admonish', 'admonish']"
admonit,"['admonition', 'admonitions']","['admonit', 'admonit']","['admonit', 'admonit']"
adn,['adnan'],['adnan'],['adnan']
ado,['ado'],['ado'],['ado']
adob,['adobe'],['adob'],['adob']
adolesc,"['adolescence', 'adolescents', 'adolescent']","['adolesc', 'adolesc', 'adolesc']","['adolesc', 'adolesc', 'adolesc']"
adolf,['adolf'],['adolf'],['adolf']
adolph,['adolphus'],['adolphu'],['adolphus']
adon,['adonis'],['adoni'],['adoni']
adoniram,['adoniram'],['adoniram'],['adoniram']
adopt,"['adopted', 'adopting', 'adoption', 'adopts', 'adopt']","['adopt', 'adopt', 'adopt', 'adopt', 'adopt']","['adopt', 'adopt', 'adopt', 'adopt', 'adopt']"
adorn,"['adorned', 'adorn', 'adorns']","['adorn', 'adorn', 'adorn']","['adorn', 'adorn', 'adorn']"
adr,"['adrenal', 'adrian', 'adrar']","['adren', 'adrian', 'adrar']","['adren', 'adrian', 'adrar']"
adrianopl,['adrianople'],['adrianopl'],['adrianopl']
adrift,['adrift'],['adrift'],['adrift']
adroit,"['adroitness', 'adroit']","['adroit', 'adroit']","['adroit', 'adroit']"
adry,"['adriatic', 'adrien']","['adriat', 'adrien']","['adriat', 'adrien']"
adsorb,"['adsorbed', 'adsorbs']","['adsorb', 'adsorb']","['adsorb', 'adsorb']"
adult,"['adulterated', 'adulthood', 'adulterers', 'adults', 'adulterous', 'adult']","['adulter', 'adulthood', 'adulter', 'adult', 'adulter', 'adult']","['adulter', 'adulthood', 'adulter', 'adult', 'adulter', 'adult']"
adultery,['adultery'],['adulteri'],['adulteri']
adv,"['advanced', 'advised', 'advice', 'advance', 'advantage', 'advisable', 'adventure', 'advise', 'advancing', 'adventuring', 'advising', 'adviser', 'advisor', 'advances', 'advantages', 'adventures', 'advises', 'adventurers', 'advisers', 'advisors', 'advancements', 'adventists', 'advantageous', 'adventitious', 'adventurous', 'advancement', 'advisement', 'advent', 'advisedly', 'advantageously', 'advisory', 'advisability']","['advanc', 'advis', 'advic', 'advanc', 'advantag', 'advis', 'adventur', 'advis', 'advanc', 'adventur', 'advis', 'advis', 'advisor', 'advanc', 'advantag', 'adventur', 'advis', 'adventur', 'advis', 'advisor', 'advanc', 'adventist', 'advantag', 'adventiti', 'adventur', 'advanc', 'advis', 'advent', 'advisedli', 'advantag', 'advisori', 'advis']","['advanc', 'advis', 'advic', 'advanc', 'advantag', 'advis', 'adventur', 'advis', 'advanc', 'adventur', 'advis', 'advis', 'advisor', 'advanc', 'advantag', 'adventur', 'advis', 'adventur', 'advis', 'advisor', 'advanc', 'adventist', 'advantag', 'adventiti', 'adventur', 'advanc', 'advis', 'advent', 'advis', 'advantag', 'advisori', 'advis']"
adverb,"['adverb', 'adverbial', 'adverbs']","['adverb', 'adverbi', 'adverb']","['adverb', 'adverbi', 'adverb']"
advers,"['adverse', 'adversaries', 'adversely', 'adversary', 'adversity']","['advers', 'adversari', 'advers', 'adversari', 'advers']","['advers', 'adversari', 'advers', 'adversari', 'advers']"
advert,"['advertised', 'advertise', 'advertising', 'advertiser', 'advertises', 'advertisers', 'advertisements', 'advertisement']","['advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis']","['advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis']"
advoc,"['advocated', 'advocate', 'advocating', 'advocates', 'advocacy']","['advoc', 'advoc', 'advoc', 'advoc', 'advocaci']","['advoc', 'advoc', 'advoc', 'advoc', 'advocaci']"
aec,"['aec', 'aecs']","['aec', 'aec']","['aec', 'aec']"
aeg,"['aegean', 'aegis']","['aegean', 'aegi']","['aegean', 'aegi']"
aeon,['aeon'],['aeon'],['aeon']
aer,"['aerated', 'aerate', 'aerial', 'aeration', 'aerator', 'aerates', 'aerials']","['aerat', 'aerat', 'aerial', 'aerat', 'aerat', 'aerat', 'aerial']","['aerat', 'aerat', 'aerial', 'aerat', 'aerat', 'aerat', 'aerial']"
aerob,['aerobic'],['aerob'],['aerob']
aerobact,['aerobacter'],['aerobact'],['aerobact']
aerodynam,['aerodynamic'],['aerodynam'],['aerodynam']
aerog,['aerogenes'],['aerogen'],['aerogen']
aeronaut,"['aeronautical', 'aeronautics']","['aeronaut', 'aeronaut']","['aeronaut', 'aeronaut']"
aerosol,"['aerosolized', 'aerosol', 'aerosols']","['aerosol', 'aerosol', 'aerosol']","['aerosol', 'aerosol', 'aerosol']"
aerospac,['aerospace'],['aerospac'],['aerospac']
aeschbach,"['aeschbacher', 'aeschbachers']","['aeschbach', 'aeschbach']","['aeschbach', 'aeschbach']"
aeschyl,['aeschylus'],['aeschylu'],['aeschylus']
aesthet,"['aesthetic', 'aesthetics', 'aesthetes']","['aesthet', 'aesthet', 'aesthet']","['aesthet', 'aesthet', 'aesthet']"
aeternit,['aeternitatis'],['aeternitati'],['aeternitati']
af,"['aforementioned', 'af', 'afar']","['aforement', 'af', 'afar']","['aforement', 'af', 'afar']"
aff,"['affable', 'afferent']","['affabl', 'affer']","['affabl', 'affer']"
affair,"['affaire', 'affair', 'affaires', 'affairs']","['affair', 'affair', 'affair', 'affair']","['affair', 'affair', 'affair', 'affair']"
affect,"['affected', 'affectionate', 'affecting', 'affectation', 'affection', 'affections', 'affects', 'affect', 'affectionately', 'affectingly']","['affect', 'affection', 'affect', 'affect', 'affect', 'affect', 'affect', 'affect', 'affection', 'affectingli']","['affect', 'affection', 'affect', 'affect', 'affect', 'affect', 'affect', 'affect', 'affection', 'affect']"
affidavit,['affidavits'],['affidavit'],['affidavit']
affin,"['affinities', 'affinity']","['affin', 'affin']","['affin', 'affin']"
affirm,"['affirmed', 'affirmative', 'affirming', 'affirm', 'affirmation', 'affirms', 'affirmations', 'affirmatively']","['affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm']","['affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm']"
affix,"['affixed', 'affix']","['affix', 'affix']","['affix', 'affix']"
afflict,"['afflicted', 'affliction', 'afflictions']","['afflict', 'afflict', 'afflict']","['afflict', 'afflict', 'afflict']"
afflu,"['affluence', 'affluent']","['affluenc', 'affluent']","['affluenc', 'affluent']"
afford,"['afforded', 'afford', 'affording', 'affords']","['afford', 'afford', 'afford', 'afford']","['afford', 'afford', 'afford', 'afford']"
affront,"['affronted', 'affronting', 'affront']","['affront', 'affront', 'affront']","['affront', 'affront', 'affront']"
affy,"['affianced', 'affied', 'affiliated', 'affiliation', 'affiliates', 'affiliations']","['affianc', 'affi', 'affili', 'affili', 'affili', 'affili']","['affianc', 'affi', 'affili', 'affili', 'affili', 'affili']"
afgh,"['afghan', 'afghans']","['afghan', 'afghan']","['afghan', 'afghan']"
aficionado,['aficionado'],['aficionado'],['aficionado']
afield,['afield'],['afield'],['afield']
afir,['afire'],['afir'],['afir']
