Snowball,Original,Porter,Lancaster
abridg,"['abridged', 'abridgment']","['abridg', 'abridg']","['abridg', 'abridg']"
abroad,"['abroad', 'abroade']","['abroad', 'abroad']","['abroad', 'abroad']"
abrog,['abrogated'],['abrog'],['abrog']
abrupt,"['abruptness', 'abrupt', 'abruptly']","['abrupt', 'abrupt', 'abruptli']","['abrupt', 'abrupt', 'abrupt']"
abscess,['abscesses'],['abscess'],['abscess']
abscissa,['abscissa'],['abscissa'],['absciss']
absenc,"['absence', 'absences']","['absenc', 'absenc']","['abs', 'abs']"
absent,"['absented', 'absent', 'absently']","['absent', 'absent', 'absent']","['abs', 'abs', 'abs']"
absente,"['absentee', 'absenteeism']","['absente', 'absente']","['abs', 'abs']"
absentia,['absentia'],['absentia'],['absent']
absentmind,['absentmindedly'],['absentmindedli'],['absentmind']
absinth,['absinthe'],['absinth'],['absinth']
absolut,"['absolute', 'absolution', 'absolutes', 'absoluteness', 'absolutely']","['absolut', 'absolut', 'absolut', 'absolut', 'absolut']","['absolv', 'absolv', 'absolv', 'absolv', 'absolv']"
absorb,"['absorb', 'absorbed', 'absorbing', 'absorber', 'absorbs', 'absorbent', 'absorbency']","['absorb', 'absorb', 'absorb', 'absorb', 'absorb', 'absorb', 'absorb']","['absorb', 'absorb', 'absorb', 'absorb', 'absorb', 'absorb', 'absorb']"
absorpt,"['absorptive', 'absorption', 'absorptions']","['absorpt', 'absorpt', 'absorpt']","['absorb', 'absorb', 'absorb']"
abstain,"['abstaining', 'abstain']","['abstain', 'abstain']","['abstain', 'abstain']"
abstent,['abstention'],['abstent'],['abst']
abstin,['abstinence'],['abstin'],['abstin']
abstract,"['abstracted', 'abstractive', 'abstracting', 'abstraction', 'abstractions', 'abstracts', 'abstract', 'abstractly']","['abstract', 'abstract', 'abstract', 'abstract', 'abstract', 'abstract', 'abstract', 'abstractli']","['abstract', 'abstract', 'abstract', 'abstract', 'abstract', 'abstract', 'abstract', 'abstract']"
abstracted,['abstractedness'],['abstracted'],['abstract']
abstraction,['abstractionism'],['abstraction'],['abstract']
abstractionist,['abstractionists'],['abstractionist'],['abstract']
abstractor,['abstractors'],['abstractor'],['abstract']
abstrus,['abstrusenesses'],['abstrus'],['abstrus']
absurd,"['absurd', 'absurdities', 'absurdly', 'absurdity']","['absurd', 'absurd', 'absurdli', 'absurd']","['absurd', 'absurd', 'absurd', 'absurd']"
abund,"['abundance', 'abundant', 'abundantly']","['abund', 'abund', 'abundantli']","['abund', 'abund', 'abund']"
abus,"['abused', 'abuse', 'abusive', 'abuses']","['abus', 'abus', 'abus', 'abus']","['abus', 'abus', 'abud', 'abus']"
abut,['abutments'],['abut'],['abut']
abysm,['abysmal'],['abysm'],['abysm']
abyss,['abyss'],['abyss'],['abyss']
abyssinian,['abyssinians'],['abyssinian'],['abyssin']
ac,['acs'],['ac'],['ac']
acacia,['acacia'],['acacia'],['acac']
academ,"['academic', 'academics', 'academically']","['academ', 'academ', 'academ']","['academ', 'academ', 'academ']"
academeh,['academeh'],['academeh'],['academeh']
academi,"['academies', 'academy']","['academi', 'academi']","['academy', 'academy']"
academicianship,['academicianship'],['academicianship'],['academ']
acadia,['acadia'],['acadia'],['acad']
acala,['acala'],['acala'],['acal']
acapulco,['acapulco'],['acapulco'],['acapulco']
accacia,['accacia'],['accacia'],['accac']
accademia,['accademia'],['accademia'],['accadem']
accardo,['accardo'],['accardo'],['accardo']
acced,"['acceded', 'accede']","['acced', 'acced']","['acc', 'acc']"
acceler,"['accelerated', 'accelerate', 'accelerating', 'acceleration', 'accelerator', 'accelerations', 'accelerators']","['acceler', 'acceler', 'acceler', 'acceler', 'acceler', 'acceler', 'acceler']","['accel', 'accel', 'accel', 'accel', 'accel', 'accel', 'accel']"
acceleromet,"['accelerometer', 'accelerometers']","['acceleromet', 'acceleromet']","['acceleromet', 'acceleromet']"
accent,"['accented', 'accenting', 'accents', 'accent']","['accent', 'accent', 'accent', 'accent']","['acc', 'acc', 'acc', 'acc']"
accentu,"['accentuated', 'accentuate', 'accentual', 'accentuates']","['accentu', 'accentu', 'accentu', 'accentu']","['accentu', 'accentu', 'acc', 'accentu']"
accept,"['accepted', 'acceptance', 'acceptable', 'accepting', 'accepts', 'accept', 'acceptability']","['accept', 'accept', 'accept', 'accept', 'accept', 'accept', 'accept']","['acceiv', 'acceiv', 'acceiv', 'acceiv', 'acceiv', 'acceiv', 'acceiv']"
access,"['accessible', 'accesses', 'accessions', 'access', 'accessibility']","['access', 'access', 'access', 'access', 'access']","['access', 'access', 'access', 'access', 'access']"
accessori,"['accessories', 'accessory']","['accessori', 'accessori']","['access', 'access']"
accid,"['accidents', 'accident']","['accid', 'accid']","['accid', 'accid']"
accident,"['accidental', 'accidentally']","['accident', 'accident']","['accid', 'accid']"
acclaim,"['acclaimed', 'acclaim', 'acclaims']","['acclaim', 'acclaim', 'acclaim']","['acclaim', 'acclaim', 'acclaim']"
acclam,['acclamation'],['acclam'],['acclam']
acclimat,['acclimatized'],['acclimat'],['acclim']
accolad,"['accolade', 'accolades']","['accolad', 'accolad']","['accolad', 'accolad']"
accommod,"['accommodated', 'accommodate', 'accommodating', 'accommodation', 'accommodates', 'accommodations']","['accommod', 'accommod', 'accommod', 'accommod', 'accommod', 'accommod']","['accommod', 'accommod', 'accommod', 'accommod', 'accommod', 'accommod']"
accomod,['accomodations'],['accomod'],['accomod']
accompani,"['accompanied', 'accompanying', 'accompanies', 'accompaniments', 'accompaniment', 'accompany']","['accompani', 'accompani', 'accompani', 'accompani', 'accompani', 'accompani']","['accompany', 'accompany', 'accompany', 'accompany', 'accompany', 'accompany']"
accompanist,"['accompanists', 'accompanist']","['accompanist', 'accompanist']","['accomp', 'accomp']"
accomplic,"['accomplice', 'accomplices']","['accomplic', 'accomplic']","['accompl', 'accompl']"
accomplish,"['accomplished', 'accomplishing', 'accomplish', 'accomplishes', 'accomplishments', 'accomplishment']","['accomplish', 'accomplish', 'accomplish', 'accomplish', 'accomplish', 'accomplish']","['accompl', 'accompl', 'accompl', 'accompl', 'accompl', 'accompl']"
accord,"['accorded', 'accord', 'accordance', 'according', 'accords', 'accordingly']","['accord', 'accord', 'accord', 'accord', 'accord', 'accordingli']","['accord', 'accord', 'accord', 'accord', 'accord', 'accord']"
accordion,['accordion'],['accordion'],['accord']
accost,"['accosted', 'accosting']","['accost', 'accost']","['accost', 'accost']"
account,"['accounted', 'accountable', 'accounting', 'accountants', 'accounts', 'accountant', 'account', 'accountability']","['account', 'account', 'account', 'account', 'account', 'account', 'account', 'account']","['account', 'account', 'account', 'account', 'account', 'account', 'account', 'account']"
accouter,['accouterments'],['accouter'],['accout']
accredit,"['accredited', 'accreditation']","['accredit', 'accredit']","['accredit', 'accredit']"
accret,"['accretion', 'accretions']","['accret', 'accret']","['accret', 'accret']"
accru,"['accrued', 'accruing', 'accrues']","['accru', 'accru', 'accru']","['accru', 'accru', 'accru']"
accultur,"['acculturated', 'acculturation']","['accultur', 'accultur']","['accult', 'accult']"
accumul,"['accumulated', 'accumulate', 'accumulating', 'accumulation', 'accumulates']","['accumul', 'accumul', 'accumul', 'accumul', 'accumul']","['accum', 'accum', 'accum', 'accum', 'accum']"
accur,"['accurate', 'accurately']","['accur', 'accur']","['acc', 'acc']"
accuraci,['accuracy'],['accuraci'],['acc']
accus,"['accused', 'accuse', 'accusing', 'accusation', 'accuses', 'accusations', 'accusingly']","['accus', 'accus', 'accus', 'accus', 'accus', 'accus', 'accusingli']","['accus', 'accus', 'accus', 'accus', 'accus', 'accus', 'accus']"
accustom,['accustomed'],['accustom'],['accustom']
ace,"['ace', 'aces']","['ace', 'ace']","['ac', 'ac']"
acet,['acetate'],['acet'],['acet']
aceton,['acetone'],['aceton'],['aceton']
acetonemia,['acetonemia'],['acetonemia'],['acetonem']
acey,['acey'],['acey'],['acey']
ach,"['ached', 'ache', 'aching', 'aches']","['ach', 'ach', 'ach', 'ach']","['ach', 'ach', 'ach', 'ach']"
achaean,['achaeans'],['achaean'],['acha']
acheson,"['acheson', 'achesons']","['acheson', 'acheson']","['acheson', 'acheson']"
achiev,"['achieved', 'achieve', 'achieving', 'achieves', 'achievers', 'achievements', 'achievement']","['achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev']","['achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev']"
achill,['achilles'],['achil'],['achil']
acid,"['acid', 'acids', 'acidity']","['acid', 'acid', 'acid']","['acid', 'acid', 'acid']"
acidul,['acidulous'],['acidul'],['acid']
acker,['ackerly'],['ackerli'],['ack']
acknowledg,"['acknowledged', 'acknowledge', 'acknowledging', 'acknowledges', 'acknowledgments', 'acknowledgement', 'acknowledgment']","['acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg']","['acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg']"
acolyt,['acolyte'],['acolyt'],['acolyt']
acont,['aconte'],['acont'],['acont']
acorn,['acorns'],['acorn'],['acorn']
acours,['acourse'],['acours'],['acours']
acoust,"['acoustic', 'acoustical', 'acoustics', 'acoustically']","['acoust', 'acoust', 'acoust', 'acoust']","['acoust', 'acoust', 'acoust', 'acoust']"
acquaint,"['acquainted', 'acquaintance', 'acquaint']","['acquaint', 'acquaint', 'acquaint']","['acquaint', 'acquaint', 'acquaint']"
acquies,['acquiesence'],['acquies'],['acquy']
acquiesc,"['acquiesced', 'acquiescence', 'acquiesce']","['acquiesc', 'acquiesc', 'acquiesc']","['acquiesc', 'acquiesc', 'acquiesc']"
acquir,"['acquired', 'acquire', 'acquiring', 'acquires']","['acquir', 'acquir', 'acquir', 'acquir']","['acquir', 'acquir', 'acquir', 'acquir']"
acquisit,"['acquisition', 'acquisitions', 'acquisitiveness']","['acquisit', 'acquisit', 'acquisit']","['acquisit', 'acquisit', 'acquisit']"
acquit,['acquitted'],['acquit'],['acquit']
acquitt,['acquittal'],['acquitt'],['acquit']
acr,"['acre', 'acres']","['acr', 'acr']","['acr', 'acr']"
acreag,['acreage'],['acreag'],['acr']
acrid,['acrid'],['acrid'],['acrid']
acrobaci,['acrobacy'],['acrobaci'],['acrob']
acrobat,"['acrobatic', 'acrobatics', 'acrobats']","['acrobat', 'acrobat', 'acrobat']","['acrob', 'acrob', 'acrob']"
acropoli,['acropolis'],['acropoli'],['acropol']
across,['across'],['across'],['across']
acryl,['acrylic'],['acryl'],['acryl']
act,"['acted', 'acting', 'acts', 'act']","['act', 'act', 'act', 'act']","['act', 'act', 'act', 'act']"
acth,['acth'],['acth'],['ac']
actinomet,['actinometer'],['actinomet'],['actinomet']
action,"['action', 'actions']","['action', 'action']","['act', 'act']"
activ,"['activated', 'activate', 'active', 'activating', 'activism', 'activation', 'activities', 'actives', 'actively', 'activity']","['activ', 'activ', 'activ', 'activ', 'activ', 'activ', 'activ', 'activ', 'activ', 'activ']","['act', 'act', 'act', 'act', 'act', 'act', 'act', 'act', 'act', 'act']"
actor,"['actor', 'actors']","['actor', 'actor']","['act', 'act']"
actress,"['actresses', 'actress']","['actress', 'actress']","['actress', 'actress']"
actual,"['actual', 'actualities', 'actually', 'actuality']","['actual', 'actual', 'actual', 'actual']","['act', 'act', 'act', 'act']"
actuari,"['actuarial', 'actuarially']","['actuari', 'actuari']","['actu', 'actu']"
actuat,"['actuated', 'actuate']","['actuat', 'actuat']","['actu', 'actu']"
acumen,['acumen'],['acumen'],['acum']
acut,"['acute', 'acutely']","['acut', 'acut']","['acut', 'acut']"
ad,"['ad', 'added', 'adding', 'ads']","['ad', 'ad', 'ad', 'ad']","['ad', 'ad', 'ad', 'ad']"
ada,"['ada', 'adas']","['ada', 'ada']","['ad', 'ada']"
adag,['adage'],['adag'],['ad']
adagio,"['adagio', 'adagios']","['adagio', 'adagio']","['adagio', 'adagio']"
adair,"['adair', 'adairs']","['adair', 'adair']","['adair', 'adair']"
adam,"['adame', 'adam', 'adams', 'adamant', 'adamantly']","['adam', 'adam', 'adam', 'adam', 'adamantli']","['adam', 'adam', 'adam', 'adam', 'adam']"
adamo,['adamo'],['adamo'],['adamo']
adamson,['adamson'],['adamson'],['adamson']
adamss,['adamss'],['adamss'],['adamss']
adapt,"['adapted', 'adaptable', 'adaptive', 'adapting', 'adaptation', 'adapter', 'adaptations', 'adapters', 'adapt']","['adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt']","['adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt']"
adaptaplex,['adaptaplex'],['adaptaplex'],['adaptaplex']
adc,['adc'],['adc'],['adc']
adcock,['adcock'],['adcock'],['adcock']
add,"['add', 'adds']","['add', 'add']","['ad', 'ad']"
addabbo,['addabbo'],['addabbo'],['addabbo']
addict,"['addicted', 'addiction', 'addicts', 'addict']","['addict', 'addict', 'addict', 'addict']","['addict', 'addict', 'addict', 'addict']"
addison,['addison'],['addison'],['addison']
addit,"['additive', 'additional', 'addition', 'additives', 'additions', 'additionally']","['addit', 'addit', 'addit', 'addit', 'addit', 'addit']","['addit', 'addit', 'addit', 'addit', 'addit', 'addit']"
addl,['addle'],['addl'],['addl']
address,"['addressed', 'addressing', 'addresses', 'address']","['address', 'address', 'address', 'address']","['address', 'address', 'address', 'address']"
addresse,['addressees'],['addresse'],['address']
adduc,['adduce'],['adduc'],['adduc']
ade,['ade'],['ade'],['ad']
adel,['adele'],['adel'],['adel']
adelia,['adelia'],['adelia'],['adel']
adelo,['adelos'],['adelo'],['adelo']
adenau,"['adenauer', 'adenauers']","['adenau', 'adenau']","['adenau', 'adenau']"
adenoma,['adenomas'],['adenoma'],['adenoma']
adept,['adept'],['adept'],['adept']
adequ,"['adequate', 'adequately']","['adequ', 'adequ']","['adequ', 'adequ']"
adequaci,['adequacy'],['adequaci'],['adequ']
aderhold,['aderholds'],['aderhold'],['aderhold']
adher,"['adhered', 'adherence', 'adhere', 'adheres', 'adherents', 'adherent']","['adher', 'adher', 'adher', 'adher', 'adher', 'adher']","['adh', 'adh', 'adh', 'adh', 'adh', 'adh']"
adhes,"['adhesive', 'adhesion', 'adhesives']","['adhes', 'adhes', 'adhes']","['adher', 'adher', 'adher']"
adieu,['adieu'],['adieu'],['adieu']
adio,['adios'],['adio'],['adio']
adip,['adipic'],['adip'],['adip']
adirondack,"['adirondack', 'adirondacks']","['adirondack', 'adirondack']","['adirondack', 'adirondack']"
adjac,['adjacent'],['adjac'],['adjac']
adject,"['adjective', 'adjectives']","['adject', 'adject']","['adject', 'adject']"
adjectiv,['adjectival'],['adjectiv'],['adject']
adjoin,"['adjoined', 'adjoining', 'adjoins']","['adjoin', 'adjoin', 'adjoin']","['adjoin', 'adjoin', 'adjoin']"
adjourn,"['adjourned', 'adjourning', 'adjourns', 'adjournment']","['adjourn', 'adjourn', 'adjourn', 'adjourn']","['adjourn', 'adjourn', 'adjourn', 'adjourn']"
adjud,"['adjudicate', 'adjudication']","['adjud', 'adjud']","['adjud', 'adjud']"
adjudg,"['adjudged', 'adjudging']","['adjudg', 'adjudg']","['adjudg', 'adjudg']"
adjunct,"['adjuncts', 'adjunct']","['adjunct', 'adjunct']","['adjunct', 'adjunct']"
adjust,"['adjusted', 'adjustable', 'adjusting', 'adjustments', 'adjusts', 'adjustment', 'adjust']","['adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust']","['adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust']"
adlai,['adlai'],['adlai'],['adla']
adler,['adler'],['adler'],['adl']
admassi,"['admassys', 'admassy']","['admassi', 'admassi']","['admassy', 'admassy']"
administ,"['administered', 'administering', 'administer', 'administers']","['administ', 'administ', 'administ', 'administ']","['admin', 'admin', 'admin', 'admin']"
administr,"['administrative', 'administration', 'administrator', 'administrations', 'administrators', 'administratively']","['administr', 'administr', 'administr', 'administr', 'administr', 'administr']","['admin', 'admin', 'admin', 'admin', 'admin', 'admin']"
adminstr,['adminstration'],['adminstr'],['adminst']
admir,"['admired', 'admirable', 'admire', 'admiring', 'admiration', 'admirer', 'admires', 'admirals', 'admirers', 'admirably', 'admiringly']","['admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admiringli']","['admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir']"
admiralti,['admiralty'],['admiralti'],['admiral']
admiss,"['admissible', 'admission', 'admissions']","['admiss', 'admiss', 'admiss']","['admiss', 'admit', 'admit']"
admit,"['admitted', 'admitting', 'admits', 'admit', 'admittedly']","['admit', 'admit', 'admit', 'admit', 'admittedli']","['admit', 'admit', 'admit', 'admit', 'admit']"
admitt,['admittance'],['admitt'],['admit']
admix,['admixed'],['admix'],['admix']
admonish,"['admonished', 'admonishing', 'admonishments']","['admonish', 'admonish', 'admonish']","['admon', 'admon', 'admon']"
admonit,"['admonition', 'admonitions']","['admonit', 'admonit']","['admonit', 'admonit']"
adnan,['adnan'],['adnan'],['adn']
ado,['ado'],['ado'],['ado']
adob,['adobe'],['adob'],['adob']
adolesc,"['adolescence', 'adolescents', 'adolescent']","['adolesc', 'adolesc', 'adolesc']","['adolesc', 'adolesc', 'adolesc']"
adolf,['adolf'],['adolf'],['adolf']
adolphus,['adolphus'],['adolphu'],['adolph']
adoni,['adonis'],['adoni'],['adon']
adoniram,['adoniram'],['adoniram'],['adoniram']
adopt,"['adopted', 'adopting', 'adoption', 'adopts', 'adopt']","['adopt', 'adopt', 'adopt', 'adopt', 'adopt']","['adopt', 'adopt', 'adopt', 'adopt', 'adopt']"
ador,"['adored', 'adorable', 'adore', 'adores']","['ador', 'ador', 'ador', 'ador']","['ad', 'ad', 'ad', 'ad']"
adorn,"['adorned', 'adorn', 'adorns']","['adorn', 'adorn', 'adorn']","['adorn', 'adorn', 'adorn']"
adrar,['adrar'],['adrar'],['adr']
adren,['adrenal'],['adren'],['adr']
adrian,['adrian'],['adrian'],['adr']
adrianopl,['adrianople'],['adrianopl'],['adrianopl']
adriat,['adriatic'],['adriat'],['adry']
adrien,['adrien'],['adrien'],['adry']
adrift,['adrift'],['adrift'],['adrift']
adroit,"['adroitness', 'adroit']","['adroit', 'adroit']","['adroit', 'adroit']"
adsorb,"['adsorbed', 'adsorbs']","['adsorb', 'adsorb']","['adsorb', 'adsorb']"
adul,['adulation'],['adul'],['ad']
adult,"['adults', 'adult']","['adult', 'adult']","['adult', 'adult']"
adulter,"['adulterated', 'adulterers', 'adulterous']","['adulter', 'adulter', 'adulter']","['adult', 'adult', 'adult']"
adulteri,['adultery'],['adulteri'],['adultery']
adulthood,['adulthood'],['adulthood'],['adult']
advanc,"['advanced', 'advance', 'advancing', 'advances', 'advancements', 'advancement']","['advanc', 'advanc', 'advanc', 'advanc', 'advanc', 'advanc']","['adv', 'adv', 'adv', 'adv', 'adv', 'adv']"
advantag,"['advantage', 'advantages', 'advantageous', 'advantageously']","['advantag', 'advantag', 'advantag', 'advantag']","['adv', 'adv', 'adv', 'adv']"
advent,['advent'],['advent'],['adv']
adventist,['adventists'],['adventist'],['adv']
adventiti,['adventitious'],['adventiti'],['adv']
adventur,"['adventure', 'adventuring', 'adventures', 'adventurers', 'adventurous']","['adventur', 'adventur', 'adventur', 'adventur', 'adventur']","['adv', 'adv', 'adv', 'adv', 'adv']"
adverb,"['adverb', 'adverbs']","['adverb', 'adverb']","['adverb', 'adverb']"
adverbi,['adverbial'],['adverbi'],['adverb']
advers,"['adverse', 'adversely', 'adversity']","['advers', 'advers', 'advers']","['advers', 'advers', 'advers']"
adversari,"['adversaries', 'adversary']","['adversari', 'adversari']","['advers', 'advers']"
advertis,"['advertised', 'advertise', 'advertising', 'advertiser', 'advertises', 'advertisers', 'advertisements', 'advertisement']","['advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis']","['advert', 'advert', 'advert', 'advert', 'advert', 'advert', 'advert', 'advert']"
advic,['advice'],['advic'],['adv']
advis,"['advised', 'advisable', 'advise', 'advising', 'adviser', 'advises', 'advisers', 'advisement', 'advisedly', 'advisability']","['advis', 'advis', 'advis', 'advis', 'advis', 'advis', 'advis', 'advis', 'advisedli', 'advis']","['adv', 'adv', 'adv', 'adv', 'adv', 'adv', 'adv', 'adv', 'adv', 'adv']"
advisor,"['advisor', 'advisors']","['advisor', 'advisor']","['adv', 'adv']"
advisori,['advisory'],['advisori'],['adv']
advoc,"['advocated', 'advocate', 'advocating', 'advocates']","['advoc', 'advoc', 'advoc', 'advoc']","['advoc', 'advoc', 'advoc', 'advoc']"
advocaci,['advocacy'],['advocaci'],['advoc']
aec,"['aec', 'aecs']","['aec', 'aec']","['aec', 'aec']"
aegean,['aegean'],['aegean'],['aeg']
aegi,['aegis'],['aegi'],['aeg']
aeon,['aeon'],['aeon'],['aeon']
aerat,"['aerated', 'aerate', 'aeration', 'aerator', 'aerates']","['aerat', 'aerat', 'aerat', 'aerat', 'aerat']","['aer', 'aer', 'aer', 'aer', 'aer']"
aerial,"['aerial', 'aerials']","['aerial', 'aerial']","['aer', 'aer']"
aerob,['aerobic'],['aerob'],['aerob']
aerobact,['aerobacter'],['aerobact'],['aerobact']
aerodynam,['aerodynamic'],['aerodynam'],['aerodynam']
aerogen,['aerogenes'],['aerogen'],['aerog']
aeronaut,"['aeronautical', 'aeronautics']","['aeronaut', 'aeronaut']","['aeronaut', 'aeronaut']"
aerosol,"['aerosolized', 'aerosol', 'aerosols']","['aerosol', 'aerosol', 'aerosol']","['aerosol', 'aerosol', 'aerosol']"
aerospac,['aerospace'],['aerospac'],['aerospac']
aeschbach,"['aeschbacher', 'aeschbachers']","['aeschbach', 'aeschbach']","['aeschbach', 'aeschbach']"
aeschylus,['aeschylus'],['aeschylu'],['aeschyl']
aesthet,"['aesthetic', 'aesthetics', 'aesthetes']","['aesthet', 'aesthet', 'aesthet']","['aesthet', 'aesthet', 'aesthet']"
aeternitati,['aeternitatis'],['aeternitati'],['aeternit']
af,['af'],['af'],['af']
afar,['afar'],['afar'],['af']
affabl,['affable'],['affabl'],['aff']
affair,"['affaire', 'affair', 'affaires', 'affairs']","['affair', 'affair', 'affair', 'affair']","['affair', 'affair', 'affair', 'affair']"
affect,"['affected', 'affecting', 'affectation', 'affection', 'affections', 'affects', 'affect', 'affectingly']","['affect', 'affect', 'affect', 'affect', 'affect', 'affect', 'affect', 'affectingli']","['affect', 'affect', 'affect', 'affect', 'affect', 'affect', 'affect', 'affect']"
affection,"['affectionate', 'affectionately']","['affection', 'affection']","['affect', 'affect']"
affer,['afferent'],['affer'],['aff']
affi,['affied'],['affi'],['affy']
affianc,['affianced'],['affianc'],['affy']
affidavit,['affidavits'],['affidavit'],['affidavit']
affili,"['affiliated', 'affiliation', 'affiliates', 'affiliations']","['affili', 'affili', 'affili', 'affili']","['affy', 'affy', 'affy', 'affy']"
affin,"['affinities', 'affinity']","['affin', 'affin']","['affin', 'affin']"
affirm,"['affirmed', 'affirmative', 'affirming', 'affirm', 'affirmation', 'affirms', 'affirmations', 'affirmatively']","['affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm']","['affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm']"
affix,"['affixed', 'affix']","['affix', 'affix']","['affix', 'affix']"
afflict,"['afflicted', 'affliction', 'afflictions']","['afflict', 'afflict', 'afflict']","['afflict', 'afflict', 'afflict']"
affluenc,['affluence'],['affluenc'],['afflu']
affluent,['affluent'],['affluent'],['afflu']
