Lancaster,Original,Porter,Snowball
agree,['agreed'],['agre'],['agre']
ai,['ai'],['ai'],['ai']
aim,"['aiming', 'aims']","['aim', 'aim']","['aim', 'aim']"
ainswor,['ainsworth'],['ainsworth'],['ainsworth']
airfield,['airfields'],['airfield'],['airfield']
airfram,['airframe'],['airfram'],['airfram']
airport,"['airports', 'airport']","['airport', 'airport']","['airport', 'airport']"
akit,['akita'],['akita'],['akita']
aku,['aku'],['aku'],['aku']
al,"['allied', 'allens']","['alli', 'allen']","['alli', 'allen']"
alabast,['alabaster'],['alabast'],['alabast']
alarm,['alarmed'],['alarm'],['alarm']
alb,['albers'],['alber'],['alber']
alcot,['alcotts'],['alcott'],['alcott']
alexe,['alexei'],['alexei'],['alexei']
algebra,['algebraically'],['algebra'],['algebra']
alkylbenzenesulfon,['alkylbenzenesulfonates'],['alkylbenzenesulfon'],['alkylbenzenesulfon']
alleg,['allegory'],['allegori'],['allegori']
allegheny,['alleghenies'],['allegheni'],['allegheni']
allevy,['alleviation'],['allevi'],['allevi']
alloc,['allocated'],['alloc'],['alloc']
allow,['allow'],['allow'],['allow']
allso,['allso'],['allso'],['allso']
allud,['allusion'],['allus'],['allus']
almond,['almond'],['almond'],['almond']
along,['along'],['along'],['along']
aloof,['aloof'],['aloof'],['aloof']
alphabet,['alphabetical'],['alphabet'],['alphabet']
alpharett,['alpharetta'],['alpharetta'],['alpharetta']
altair,['altairians'],['altairian'],['altairian']
altitud,['altitude'],['altitud'],['altitud']
alv,['alva'],['alva'],['alva']
alwin,['alwin'],['alwin'],['alwin']
aly,"['alien', 'aliens']","['alien', 'alien']","['alien', 'alien']"
am,"['amicable', 'amateur', 'amorous', 'amorist']","['amic', 'amateur', 'amor', 'amorist']","['amic', 'amateur', 'amor', 'amorist']"
amaz,['amazing'],['amaz'],['amaz']
amb,"['ambitious', 'ambulatory']","['ambiti', 'ambulatori']","['ambiti', 'ambulatori']"
ambigu,['ambiguities'],['ambigu'],['ambigu']
amend,['amendments'],['amend'],['amend']
ammon,['ammonium'],['ammonium'],['ammonium']
amorph,['amorphous'],['amorph'],['amorph']
amort,['amortization'],['amort'],['amort']
amput,['amputated'],['amput'],['amput']
amus,['amusedly'],['amusedli'],['amus']
amy,['amy'],['ami'],['ami']
an,['anionic'],['anion'],['anion']
anachron,"['anachronism', 'anachronisms']","['anachron', 'anachron']","['anachron', 'anachron']"
analog,['analogously'],['analog'],['analog']
analys,"['analytical', 'analyzer']","['analyt', 'analyz']","['analyt', 'analyz']"
anarchy,['anarchy'],['anarchi'],['anarchi']
anastomos,['anastomosis'],['anastomosi'],['anastomosi']
anatom,['anatomical'],['anatom'],['anatom']
anch,"['anchoring', 'anchors']","['anchor', 'anchor']","['anchor', 'anchor']"
ancil,['ancillary'],['ancillari'],['ancillari']
anderson,['anderson'],['anderson'],['anderson']
andre,['andrea'],['andrea'],['andrea']
anem,['anemated'],['anem'],['anem']
anew,['anew'],['anew'],['anew']
angelin,['angelina'],['angelina'],['angelina']
angelo,['angelo'],['angelo'],['angelo']
angl,['anglia'],['anglia'],['anglia']
anhydr,['anhydrously'],['anhydr'],['anhydr']
anim,"['animal', 'animation']","['anim', 'anim']","['anim', 'anim']"
ann,['anna'],['anna'],['anna']
annount,['announcers'],['announc'],['announc']
anorex,['anorexia'],['anorexia'],['anorexia']
anselmo,['anselmo'],['anselmo'],['anselmo']
ant,['antics'],['antic'],['antic']
antagon,['antagonised'],['antagonis'],['antagonis']
antec,['antecedent'],['anteced'],['anteced']
antenna,['antennae'],['antenna'],['antenna']
anthe,['anthea'],['anthea'],['anthea']
anthropolog,['anthropologists'],['anthropologist'],['anthropologist']
antig,['antigen'],['antigen'],['antigen']
anvil,['anvil'],['anvil'],['anvil']
anxy,['anxiously'],['anxious'],['anxious']
anybody,['anybodys'],['anybodi'],['anybodi']
anylabel,['anylabel'],['anylabel'],['anylabel']
anyway,['anyways'],['anyway'],['anyway']
anzilott,['anzilotti'],['anzilotti'],['anzilotti']
ap,"['appealing', 'ap', 'appeals']","['appeal', 'ap', 'appeal']","['appeal', 'ap', 'appeal']"
apolog,['apologized'],['apolog'],['apolog']
app,['apparency'],['appar'],['appar']
appear,"['appearance', 'appear', 'appearances']","['appear', 'appear', 'appear']","['appear', 'appear', 'appear']"
append,['appended'],['append'],['append']
appl,"['applicant', 'applicability']","['applic', 'applic']","['applic', 'applic']"
appra,['appraisal'],['apprais'],['apprais']
apprecy,"['appreciative', 'appreciates']","['appreci', 'appreci']","['appreci', 'appreci']"
approach,['approached'],['approach'],['approach']
apt,['aptness'],['apt'],['apt']
aquam,['aquam'],['aquam'],['aquam']
ar,['arent'],['arent'],['arent']
arab,['arabs'],['arab'],['arab']
arabesqu,['arabesque'],['arabesqu'],['arabesqu']
arapac,['arapacis'],['arapaci'],['arapaci']
arb,['arboreal'],['arbor'],['arbor']
arbit,['arbitrate'],['arbitr'],['arbitr']
arbuckl,['arbuckle'],['arbuckl'],['arbuckl']
arch,['arched'],['arch'],['arch']
archa,['archaized'],['archaiz'],['archaiz']
archim,['archimedes'],['archimed'],['archimed']
ardm,['ardmore'],['ardmor'],['ardmor']
ardu,['arduous'],['arduou'],['arduous']
aren,['arena'],['arena'],['arena']
argu,['arguing'],['argu'],['argu']
ariadn,['ariadne'],['ariadn'],['ariadn']
aricara,['aricaras'],['aricara'],['aricara']
aristotel,['aristotelian'],['aristotelian'],['aristotelian']
arm,"['armenian', 'arms']","['armenian', 'arm']","['armenian', 'arm']"
armistead,['armisteads'],['armistead'],['armistead']
armload,['armload'],['armload'],['armload']
arnolph,['arnolphe'],['arnolph'],['arnolph']
arom,['aromatic'],['aromat'],['aromat']
arrang,['arranges'],['arrang'],['arrang']
arrear,['arrears'],['arrear'],['arrear']
arrow,['arrows'],['arrow'],['arrow']
ars,['arsenal'],['arsen'],['arsenal']
arsid,['arside'],['arsid'],['arsid']
art,['artfully'],['art'],['art']
arterioloscleros,['arteriolosclerosis'],['arteriolosclerosi'],['arteriolosclerosi']
artery,['arterys'],['arteri'],['arteri']
artic,['articulation'],['articul'],['articul']
as,['asian'],['asian'],['asian']
asbesto,['asbestos'],['asbesto'],['asbesto']
ascertain,['ascertain'],['ascertain'],['ascertain']
asham,['ashamed'],['asham'],['asham']
ashm,['ashman'],['ashman'],['ashman']
ask,['asks'],['ask'],['ask']
ass,"['assures', 'asses', 'assent']","['assur', 'ass', 'assent']","['assur', 'ass', 'assent']"
assail,"['assailed', 'assailants', 'assailant']","['assail', 'assail', 'assail']","['assail', 'assail', 'assail']"
assassin,['assassination'],['assassin'],['assassin']
assault,['assaulting'],['assault'],['assault']
assert,"['asserted', 'assertions']","['assert', 'assert']","['assert', 'assert']"
asses,['assesment'],['asses'],['asses']
assign,['assigning'],['assign'],['assign']
assimil,['assimilated'],['assimil'],['assimil']
assort,['assortment'],['assort'],['assort']
assum,['assumed'],['assum'],['assum']
astart,['astarte'],['astart'],['astart']
asthm,['asthma'],['asthma'],['asthma']
astray,['astray'],['astray'],['astray']
astronom,['astronomy'],['astronomi'],['astronomi']
asymmet,['asymmetrically'],['asymmetr'],['asymmetr']
at,['attentively'],['attent'],['attent']
ath,['atheistic'],['atheist'],['atheist']
atlantic,['atlantica'],['atlantica'],['atlantica']
atmosph,"['atmosphere', 'atmospheres']","['atmospher', 'atmospher']","['atmospher', 'atmospher']"
atop,['atop'],['atop'],['atop']
atroph,['atrophic'],['atroph'],['atroph']
attend,"['attendance', 'attendant']","['attend', 'attend']","['attend', 'attend']"
attract,['attract'],['attract'],['attract']
attribut,['attributed'],['attribut'],['attribut']
attu,['attu'],['attu'],['attu']
atwel,['atwells'],['atwel'],['atwel']
audit,['auditors'],['auditor'],['auditor']
audiv,['audivi'],['audivi'],['audivi']
aug,['augen'],['augen'],['augen']
auror,['aurora'],['aurora'],['aurora']
aust,"['austere', 'austerity']","['auster', 'auster']","['auster', 'auster']"
austin,['austin'],['austin'],['austin']
austr,['austria'],['austria'],['austria']
aut,['autistic'],['autist'],['autist']
auth,"['authorized', 'authorization', 'authorship', 'authentications']","['author', 'author', 'authorship', 'authent']","['author', 'author', 'authorship', 'authent']"
autonom,['autonomic'],['autonom'],['autonom']
autosuggest,['autosuggestibility'],['autosuggest'],['autosuggest']
av,['avis'],['avi'],['avi']
avaly,['avaliable'],['avali'],['avali']
avert,['avert'],['avert'],['avert']
aw,['awful'],['aw'],['aw']
await,['awaited'],['await'],['await']
awak,['awakening'],['awaken'],['awaken']
awash,['awash'],['awash'],['awash']
ay,['aye'],['aye'],['aye']
bac,['baci'],['baci'],['baci']
bach,['bach'],['bach'],['bach']
backpack,['backpack'],['backpack'],['backpack']
backst,['backstage'],['backstag'],['backstag']
bad,['baden'],['baden'],['baden']
badur,['badura'],['badura'],['badura']
bagh,['bagh'],['bagh'],['bagh']
bah,['bahia'],['bahia'],['bahia']
bail,['bailly'],['bailli'],['bailli']
baird,['baird'],['baird'],['baird']
bait,['baiter'],['baiter'],['baiter']
bal,"['balling', 'balances']","['ball', 'balanc']","['ball', 'balanc']"
balagu,['balaguer'],['balagu'],['balagu']
balcony,['balcony'],['balconi'],['balconi']
balk,['balkanize'],['balkan'],['balkan']
ballard,['ballards'],['ballard'],['ballard']
balustrad,['balustrade'],['balustrad'],['balustrad']
banana,['bananas'],['banana'],['banana']
band,"['banded', 'bandaging']","['band', 'bandag']","['band', 'bandag']"
bandol,['bandoleers'],['bandol'],['bandol']
bandon,['bandon'],['bandon'],['bandon']
bandwagon,['bandwagon'],['bandwagon'],['bandwagon']
bang,"['banged', 'bangs']","['bang', 'bang']","['bang', 'bang']"
bank,['banked'],['bank'],['bank']
bapt,['baptists'],['baptist'],['baptist']
baptistery,['baptistery'],['baptisteri'],['baptisteri']
bar,"['barre', 'barth']","['barr', 'barth']","['barr', 'barth']"
barb,['barber'],['barber'],['barber']
barc,['barcus'],['barcu'],['barcus']
barco,['barcos'],['barco'],['barco']
barefoot,['barefoot'],['barefoot'],['barefoot']
barg,['barges'],['barg'],['barg']
barkeep,['barkeep'],['barkeep'],['barkeep']
barl,['barl'],['barl'],['barl']
barnard,['barnard'],['barnard'],['barnard']
barnyard,['barnyard'],['barnyard'],['barnyard']
baron,['baron'],['baron'],['baron']
barrack,['barracks'],['barrack'],['barrack']
barrel,['barrel'],['barrel'],['barrel']
bartend,['bartender'],['bartend'],['bartend']
bartok,['bartok'],['bartok'],['bartok']
bas,"['based', 'basing']","['base', 'base']","['base', 'base']"
basem,['baseman'],['baseman'],['baseman']
basil,['basils'],['basil'],['basil']
bask,['basking'],['bask'],['bask']
basl,['basler'],['basler'],['basler']
bast,['basting'],['bast'],['bast']
bat,"['batter', 'battalions']","['batter', 'battalion']","['batter', 'battalion']"
battlefront,['battlefront'],['battlefront'],['battlefront']
bauha,['bauhaus'],['bauhau'],['bauhaus']
bavar,['bavaria'],['bavaria'],['bavaria']
bawdy,['bawdy'],['bawdi'],['bawdi']
beak,['beakers'],['beaker'],['beaker']
beard,['bearden'],['bearden'],['bearden']
beardown,['beardown'],['beardown'],['beardown']
beat,['beating'],['beat'],['beat']
beaut,['beautify'],['beautifi'],['beautifi']
beauty,['beautys'],['beauti'],['beauti']
beaux,['beaux'],['beaux'],['beaux']
becomin,['becomin'],['becomin'],['becomin']
bed,['bede'],['bede'],['bede']
bedsid,['bedside'],['bedsid'],['bedsid']
beech,['beecher'],['beecher'],['beecher']
beethov,['beethoven'],['beethoven'],['beethoven']
beetl,['beetles'],['beetl'],['beetl']
befoh,['befoh'],['befoh'],['befoh']
befuddl,['befuddles'],['befuddl'],['befuddl']
behahn,['behahn'],['behahn'],['behahn']
behynd,['behynde'],['behynd'],['behynd']
bel,['belly'],['belli'],['belli']
belfry,['belfry'],['belfri'],['belfri']
believ,"['belief', 'believers']","['belief', 'believ']","['belief', 'believ']"
belong,['belongs'],['belong'],['belong']
belv,['belvedere'],['belveder'],['belveder']
bench,['benches'],['bench'],['bench']
benchmark,['benchmarks'],['benchmark'],['benchmark']
beneficy,['beneficiary'],['beneficiari'],['beneficiari']
bennington,['bennington'],['bennington'],['bennington']
bereav,['bereavements'],['bereav'],['bereav']
berg,['bergers'],['berger'],['berger']
berl,['berle'],['berl'],['berl']
berlin,"['berlins', 'berliners']","['berlin', 'berlin']","['berlin', 'berlin']"
bernardo,['bernardo'],['bernardo'],['bernardo']
bernhardt,['bernhardt'],['bernhardt'],['bernhardt']
berniec,['berniece'],['berniec'],['berniec']
berrellez,['berrellez'],['berrellez'],['berrellez']
bert,['bert'],['bert'],['bert']
berth,['bertha'],['bertha'],['bertha']
bertrand,['bertrand'],['bertrand'],['bertrand']
beryl,['beryl'],['beryl'],['beryl']
bess,['bess'],['bess'],['bess']
best,['bester'],['bester'],['bester']
bet,['bettering'],['better'],['better']
bevel,['bevels'],['bevel'],['bevel']
bewitch,['bewitched'],['bewitch'],['bewitch']
bibl,"['bible', 'biblically']","['bibl', 'biblic']","['bibl', 'biblic']"
bick,['bickering'],['bicker'],['bicker']
bid,['bidder'],['bidder'],['bidder']
bind,['binders'],['binder'],['binder']
bindl,['bindle'],['bindl'],['bindl']
binuclear,['binuclear'],['binuclear'],['binuclear']
bio,['bio'],['bio'],['bio']
biochem,['biochemical'],['biochem'],['biochem']
biolog,['biological'],['biolog'],['biolog']
bipl,['biplane'],['biplan'],['biplan']
birch,['birch'],['birch'],['birch']
birdy,['birdied'],['birdi'],['birdi']
birthcontrol,['birthcontrol'],['birthcontrol'],['birthcontrol']
birthright,['birthright'],['birthright'],['birthright']
bishop,['bishop'],['bishop'],['bishop']
biw,['biwa'],['biwa'],['biwa']
bix,['bix'],['bix'],['bix']
biz,['biz'],['biz'],['biz']
blackboard,['blackboard'],['blackboard'],['blackboard']
blackmail,['blackmailer'],['blackmail'],['blackmail']
blackston,['blackstone'],['blackston'],['blackston']
blanch,['blanched'],['blanch'],['blanch']
blanket,['blanket'],['blanket'],['blanket']
blasphemy,['blasphemy'],['blasphemi'],['blasphemi']
blaz,['blazed'],['blaze'],['blaze']
blazon,['blazon'],['blazon'],['blazon']
bleach,['bleaching'],['bleach'],['bleach']
blem,['blemishes'],['blemish'],['blemish']
blight,['blighted'],['blight'],['blight']
blind,"['blind', 'blindness']","['blind', 'blind']","['blind', 'blind']"
bliss,['blissful'],['bliss'],['bliss']
blizzard,['blizzards'],['blizzard'],['blizzard']
blo,['bloated'],['bloat'],['bloat']
bloch,['bloch'],['bloch'],['bloch']
block,['block'],['block'],['block']
blomdahl,['blomdahl'],['blomdahl'],['blomdahl']
bloodlust,['bloodlust'],['bloodlust'],['bloodlust']
bloomfield,['bloomfield'],['bloomfield'],['bloomfield']
blossom,['blossom'],['blossom'],['blossom']
blot,['blotted'],['blot'],['blot']
blow,"['blowing', 'blow']","['blow', 'blow']","['blow', 'blow']"
blowf,['blowfish'],['blowfish'],['blowfish']
blu,['bluish'],['bluish'],['bluish']
blund,['blunders'],['blunder'],['blunder']
blunt,['blunts'],['blunt'],['blunt']
blurry,['blurry'],['blurri'],['blurri']
blush,['blushes'],['blush'],['blush']
blvd,['blvd'],['blvd'],['blvd']
bob,['bobbed'],['bob'],['bob']
bockwurst,['bockwurst'],['bockwurst'],['bockwurst']
body,['body'],['bodi'],['bodi']
bodyweight,['bodyweight'],['bodyweight'],['bodyweight']
bog,"['bogged', 'bogus']","['bog', 'bogu']","['bog', 'bogus']"
boi,['boies'],['boi'],['boi']
boil,"['boiling', 'boil']","['boil', 'boil']","['boil', 'boil']"
bolet,['bolet'],['bolet'],['bolet']
bolshevik,['bolsheviks'],['bolshevik'],['bolshevik']
bond,"['bonded', 'bond']","['bond', 'bond']","['bond', 'bond']"
bonh,['bonheur'],['bonheur'],['bonheur']
bonny,['bonnie'],['bonni'],['bonni']
bontempo,['bontempo'],['bontempo'],['bontempo']
booklet,['booklets'],['booklet'],['booklet']
bookshelf,['bookshelf'],['bookshelf'],['bookshelf']
boonton,['boonton'],['boonton'],['boonton']
boost,['boosting'],['boost'],['boost']
boot,['boots'],['boot'],['boot']
bord,['border'],['border'],['border']
bordeau,['bordeau'],['bordeau'],['bordeau']
bordn,['bordner'],['bordner'],['bordner']
borrow,['borrowing'],['borrow'],['borrow']
bossm,['bossman'],['bossman'],['bossman']
botteg,['bottega'],['bottega'],['bottega']
botulin,['botulinal'],['botulin'],['botulin']
bound,['boundary'],['boundari'],['boundari']
bourgeoisy,['bourgeoisie'],['bourgeoisi'],['bourgeoisi']
bourn,['bourn'],['bourn'],['bourn']
bow,"['bowed', 'bows']","['bow', 'bow']","['bow', 'bow']"
bowd,['bowden'],['bowden'],['bowden']
bowdoin,['bowdoin'],['bowdoin'],['bowdoin']
boxford,['boxford'],['boxford'],['boxford']
boxwood,['boxwood'],['boxwood'],['boxwood']
boxy,['boxy'],['boxi'],['boxi']
boy,"['boyhood', 'boyish', 'boyars']","['boyhood', 'boyish', 'boyar']","['boyhood', 'boyish', 'boyar']"
boyd,['boyd'],['boyd'],['boyd']
bradykinin,['bradykinin'],['bradykinin'],['bradykinin']
brain,['brained'],['brain'],['brain']
brassbound,['brassbounds'],['brassbound'],['brassbound']
brav,['braver'],['braver'],['braver']
break,"['break', 'breaker']","['break', 'breaker']","['break', 'breaker']"
breezy,['breezy'],['breezi'],['breezi']
brend,['brendan'],['brendan'],['brendan']
brest,['brest'],['brest'],['brest']
bridg,['bridges'],['bridg'],['bridg']
bridgew,['bridgewater'],['bridgewat'],['bridgewat']
brief,"['briefer', 'briefly']","['briefer', 'briefli']","['briefer', 'briefli']"
bright,['brightens'],['brighten'],['brighten']
bristol,['bristol'],['bristol'],['bristol']
brit,['britten'],['britten'],['britten']
britain,['britain'],['britain'],['britain']
britan,['britannic'],['britann'],['britann']
briton,['britons'],['briton'],['briton']
brok,['broker'],['broker'],['broker']
bronchiol,['bronchiolar'],['bronchiolar'],['bronchiolar']
brood,['broods'],['brood'],['brood']
brookmey,['brookmeyers'],['brookmey'],['brookmey']
brown,"['brownish', 'browns']","['brownish', 'brown']","['brownish', 'brown']"
bru,['bruised'],['bruis'],['bruis']
bruit,['bruited'],['bruit'],['bruit']
brushlik,['brushlike'],['brushlik'],['brushlik']
bryson,['bryson'],['bryson'],['bryson']
bt,['bt'],['bt'],['bt']
buc,['bucs'],['buc'],['buc']
buccol,['buccolic'],['buccol'],['buccol']
buckley,['buckley'],['buckley'],['buckley']
buddh,['buddhist'],['buddhist'],['buddhist']
budget,['budgets'],['budget'],['budget']
bug,['buggers'],['bugger'],['bugger']
bugey,['bugeyed'],['bugey'],['bugey']
bugl,['bugle'],['bugl'],['bugl']
buildin,['buildin'],['buildin'],['buildin']
buildup,['buildup'],['buildup'],['buildup']
bul,['bullying'],['bulli'],['bulli']
bulb,['bulb'],['bulb'],['bulb']
bulkhead,['bulkheads'],['bulkhead'],['bulkhead']
bulky,['bulky'],['bulki'],['bulki']
bum,['bumming'],['bum'],['bum']
bureaucr,['bureaucrats'],['bureaucrat'],['bureaucrat']
burk,['burkes'],['burk'],['burk']
burm,['burman'],['burman'],['burman']
burmes,['burmese'],['burmes'],['burmes']
burn,['burning'],['burn'],['burn']
burton,['burton'],['burton'],['burton']
bust,['buster'],['buster'],['buster']
bustl,"['bustle', 'bustling']","['bustl', 'bustl']","['bustl', 'bustl']"
but,['butted'],['but'],['but']
butch,['butcher'],['butcher'],['butcher']
buttery,['buttery'],['butteri'],['butteri']
button,['buttons'],['button'],['button']
buttress,['buttresses'],['buttress'],['buttress']
buy,['buy'],['buy'],['buy']
buzz,['buzzs'],['buzz'],['buzz']
byer,['byer'],['byer'],['byer']
bylot,['bylot'],['bylot'],['bylot']
bypass,['bypassed'],['bypass'],['bypass']
cab,['cab'],['cab'],['cab']
cabinet,['cabinet'],['cabinet'],['cabinet']
cadillac,['cadillacs'],['cadillac'],['cadillac']
cadr,['cadre'],['cadr'],['cadr']
caf,['cafes'],['cafe'],['cafe']
cag,['cages'],['cage'],['cage']
cairol,['cairoli'],['cairoli'],['cairoli']
cal,"['called', 'callable', 'calif']","['call', 'callabl', 'calif']","['call', 'callabl', 'calif']"
caldwel,['caldwells'],['caldwel'],['caldwel']
caleb,['caleb'],['caleb'],['caleb']
californ,['californians'],['californian'],['californian']
calligraph,['calligraphy'],['calligraphi'],['calligraphi']
calorimet,['calorimetric'],['calorimetr'],['calorimetr']
calud,['calude'],['calud'],['calud']
calv,['calvary'],['calvari'],['calvari']
cambridg,['cambridge'],['cambridg'],['cambridg']
camp,"['camped', 'camps', 'campus']","['camp', 'camp', 'campu']","['camp', 'camp', 'campus']"
campaign,['campaigners'],['campaign'],['campaign']
campground,"['campground', 'campgrounds']","['campground', 'campground']","['campground', 'campground']"
campobello,['campobello'],['campobello'],['campobello']
campsit,['campsites'],['campsit'],['campsit']
cancel,['cancellation'],['cancel'],['cancel']
candid,['candide'],['candid'],['candid']
candlewick,['candlewick'],['candlewick'],['candlewick']
cannery,"['canneries', 'cannery']","['canneri', 'canneri']","['canneri', 'canneri']"
canon,['canons'],['canon'],['canon']
canva,['canvas'],['canva'],['canva']
canvass,['canvassing'],['canvass'],['canvass']
cap,"['capering', 'capers']","['caper', 'caper']","['caper', 'caper']"
capistrano,['capistrano'],['capistrano'],['capistrano']
capit,"['capitalize', 'capitalizing', 'capitalists']","['capit', 'capit', 'capitalist']","['capit', 'capit', 'capitalist']"
car,"['caricature', 'caring', 'cares', 'carefulness']","['caricatur', 'care', 'care', 'care']","['caricatur', 'care', 'care', 'care']"
caramel,['caramel'],['caramel'],['caramel']
carcass,['carcass'],['carcass'],['carcass']
cardboard,['cardboard'],['cardboard'],['cardboard']
cardiac,['cardiac'],['cardiac'],['cardiac']
carefr,['carefree'],['carefre'],['carefre']
caress,['caress'],['caress'],['caress']
carleton,['carletons'],['carleton'],['carleton']
carload,['carloading'],['carload'],['carload']
carlson,['carlson'],['carlson'],['carlson']
carolin,['caroline'],['carolin'],['carolin']
carpet,['carpeted'],['carpet'],['carpet']
carty,['carty'],['carti'],['carti']
carv,['carvings'],['carv'],['carv']
cascad,['cascade'],['cascad'],['cascad']
casino,['casinos'],['casino'],['casino']
castanet,['castanets'],['castanet'],['castanet']
castig,['castigated'],['castig'],['castig']
castl,['castle'],['castl'],['castl']
cataton,['catatonic'],['cataton'],['cataton']
catch,['catching'],['catch'],['catch']
catech,['catechism'],['catech'],['catech']
cathol,['catholics'],['cathol'],['cathol']
catinar,['catinari'],['catinari'],['catinari']
caus,['causative'],['caus'],['causat']
cav,"['caving', 'caveat']","['cave', 'caveat']","['cave', 'caveat']"
cayen,['cayenne'],['cayenn'],['cayenn']
ceaseless,['ceaseless'],['ceaseless'],['ceaseless']
ceil,['ceil'],['ceil'],['ceil']
cel,"['cells', 'cellist']","['cell', 'cellist']","['cell', 'cellist']"
celeb,['celebes'],['celeb'],['celeb']
celebr,['celebrates'],['celebr'],['celebr']
cell,['cellar'],['cellar'],['cellar']
cem,"['cemented', 'cement']","['cement', 'cement']","['cement', 'cement']"
cens,['censured'],['censur'],['censur']
cent,"['central', 'centum', 'centrals']","['central', 'centum', 'central']","['central', 'centum', 'central']"
cert,['certifying'],['certifi'],['certifi']
cervetto,['cervetto'],['cervetto'],['cervetto']
cest,"['cestre', 'cest']","['cestr', 'cest']","['cestr', 'cest']"
cha,['chaise'],['chais'],['chais']
chalon,['chalon'],['chalon'],['chalon']
chamf,['chamfer'],['chamfer'],['chamfer']
chamo,['chamois'],['chamoi'],['chamoi']
champagn,['champagne'],['champagn'],['champagn']
chan,['channing'],['chan'],['chan']
chancery,['chancery'],['chanceri'],['chanceri']
chand,['chandeliers'],['chandeli'],['chandeli']
chandel,['chandelle'],['chandel'],['chandell']
channel,['channeled'],['channel'],['channel']
chanson,['chansons'],['chanson'],['chanson']
chant,['chanter'],['chanter'],['chanter']
chaplain,['chaplain'],['chaplain'],['chaplain']
chapt,['chapter'],['chapter'],['chapter']
char,"['charred', 'char']","['char', 'char']","['char', 'char']"
charit,['charitably'],['charit'],['charit']
charless,['charless'],['charless'],['charless']
charley,['charleys'],['charley'],['charley']
chas,['chase'],['chase'],['chase']
chat,['chatted'],['chat'],['chat']
chauff,['chauffeured'],['chauffeur'],['chauffeur']
chauncey,['chauncey'],['chauncey'],['chauncey']
che,"['che', 'cheer', 'cheerfulness']","['che', 'cheer', 'cheer']","['che', 'cheer', 'cheer']"
check,['checking'],['check'],['check']
chem,"['chemicals', 'chemically']","['chemic', 'chemic']","['chemic', 'chemic']"
cheng,['cheng'],['cheng'],['cheng']
